participant_id,week,date,prompt_text,journal_response_text,behavioral_domain_category,signal_before,signal_after,signal_change,behavioral_improvement,n_features_total,n_features_improved,baseline_imputed,prompt_type
t0002@sreflect,5.0,2024-02-29,"With gym visits up but running down, consider trying a new sport this week for fun. How do you feel about that?",I feel like I do not have enough time to try a new sport because finals are starting.,physical_fitness,0.0536,0.1452,0.0916,yes,5,2,no,REDIRECTIVE
t0003@sreflect,1.0,2024-02-01,Your social interactions have lessened recently. Can you think of a person you haven't caught up with in a while to reconnect with? How might that feel?,"Yes, I think it would be great because we'd catch up on many developments. Anyways, I'm currently busy, unfortunately.",social_interaction,0.0,0.0,0.0,no,16,0,yes,REDIRECTIVE
t0003@sreflect,1.0,2024-02-02,Recent trends show a noteworthy increase in your in-person connections. Reflect on how these face-to-face interactions contribute to your mood.,It refreshes my mind and prepares me to solve my research problems with a new perspective. It really improves my motivation.,social_interaction,0.3684,0.4445,0.0762,yes,16,4,no,REFLECTIVE
t0003@sreflect,1.0,2024-02-04,You've been connecting less on calls and spending more time in your dorm. What's one new hobby you could explore there to boost your joy?,"I'm already enjoying my hobby, which is coding. It's just that I can't figure out some big that's bothering me 😔",digital_habits,0.1091,0.3649,0.2558,no,5,1,no,REDIRECTIVE
t0003@sreflect,1.0,2024-02-05,"Social interactions are blooming! With your trend in meaningful conversations growing, explore one insightful topic you discussed recently and its impact on you.","I had fruitful discussions with various people today. Through exchanging ideas, I got new insights that might help me with solving my coding problems.",social_interaction,-0.0486,0.0666,0.1151,yes,16,7,no,REFLECTIVE
t0003@sreflect,1.0,2024-02-06,Your in-person interactions have taken an upbeat turn! Reflect on how diversifying your hangout spots improved these encounters.,"It allowed me to take a break from research work, and in the process, I gained new insults that are useful to my work.",social_interaction,0.2844,0.1856,-0.0988,no,16,6,no,REFLECTIVE
t0003@sreflect,1.0,2024-02-07,You've been more focused offline lately. How has decreasing screen time opened up new ways for you to relax or engage with hobbies?,It has allowed me to think and internalize concepts more intently. It's great for my research work indeed 😁,digital_habits,0.4358,0.5934,0.1576,no,5,0,no,REFLECTIVE
t0003@sreflect,2.0,2024-02-08,Your running has really picked up! How does integrating more dynamic movement shape your day and mood?,"It keeps my blood flowing, which is good for my overall health. Though I think I need to work out a little more.",physical_fitness,-0.3605,-0.169,0.1914,yes,5,2,no,REFLECTIVE
t0003@sreflect,2.0,2024-02-10,"Reflecting on recent changes, how can swapping digital chatter for real-world convos enhance your well-being?",I feel connected to way more people and less stressed as a result. I think it's been a great thing to do.,social_interaction,0.1856,-0.1488,-0.3345,no,16,4,no,REDIRECTIVE
t0003@sreflect,2.0,2024-02-13,Your increased running and walking activity is impressive! How do these changes in your fitness routine contribute to your overall well-being?,"It helps me refresh my mind, and to come up with new ideas for my research. It's always nice interacting with people.",physical_fitness,-0.2018,0.0368,0.2386,yes,5,2,no,REFLECTIVE
t0003@sreflect,2.0,2024-02-14,"Your social interaction via calls and texts has dropped, but in-person chat is up. How's this affecting your social vibes?","Great! I enjoy talking to people physically rather than virtually. if I had opportunities to talk to people more often, I would probably forget about my virtual friends. So, I feel so positive.",social_interaction,-0.1488,0.4262,0.5751,yes,16,7,no,REFLECTIVE
t0003@sreflect,3.0,2024-02-16,You've embraced more in-person connections lately. How has this shift to face-to-face interactions enhanced your friendships?,It helps me create more personal connections with people and keeps my mind off the stresses of work.,social_interaction,-0.3025,0.2816,0.5842,yes,16,9,no,REFLECTIVE
t0003@sreflect,3.0,2024-02-18,Your decreased screen time suggests more space for other activities. Could you pinpoint how this has influenced your social interactions this past week?,"My interactions are richer and diverse now. It has also helped me focus on my work more, which is great!",social_interaction,0.4262,-0.0653,-0.4915,no,16,3,no,REFLECTIVE
t0003@sreflect,3.0,2024-02-19,Your phone calls have dwindled recently. How have changes in your communicative behavior touched your daily interactions or mood?,"I'm currently busy with paper submissions. So, I haven't had a chance to interact much on social media. However, I've engaged in more in person conversations than usual, which is great!",digital_habits,0.08,0.0994,0.0194,no,5,2,no,REFLECTIVE
t0003@sreflect,3.0,2024-02-20,Your recent calls show a shift towards outgoing more than incoming. Has initiating conversations affected your relationships or wellbeing?,"Indeed, I got to connect with my brothers and discussed various things transpiring at home. I think it's affected me very positively.",social_interaction,0.2816,-0.1094,-0.3911,no,16,1,no,REFLECTIVE
t0003@sreflect,4.0,2024-02-22,You're moving around less but running more. How is this changing your energy levels or fitness goals?,It's refreshing to be active after a long day. It's helping me prepare my mind to do more research tonight.,physical_fitness,-0.2011,-0.0309,0.1701,yes,5,3,no,REFLECTIVE
t0003@sreflect,4.0,2024-02-25,Your call and message logs show less reaching out. How can you maintain your social ties this week?,"I'm quite busy with a paper submission and my girlfriend, who I reach out to on a daily basis has traveled abroad.",social_interaction,-0.2581,-0.118,0.1401,yes,16,6,no,REDIRECTIVE
t0003@sreflect,4.0,2024-02-26,"Seeing more incoming calls lately, what new connections have you made, and how has this affected your daily routine?","Yes, a few connections from my people from the past. It was nice catching up with them and reinforcing our connections.",digital_habits,0.0561,0.3815,0.3255,no,5,0,no,REFLECTIVE
t0003@sreflect,4.0,2024-02-27,Your screen use is up lately. Reflect on how prioritizing screen time over sleep has influenced your day.,I've been working a lot to meet a paper submission deadline. I definitely need some sleep but I think it'll have to wait for now.,digital_habits,-0.0493,0.2482,0.2975,no,5,0,no,REFLECTIVE
t0003@sreflect,5.0,2024-02-29,You've been reaching out more on calls and texts. How are these chats shaping your days?,It's been mostly customer calls. But I have real good in person chats that have helped me gain clarity on some of my ideas.,digital_habits,0.2227,-0.2122,-0.4349,yes,5,3,no,REFLECTIVE
t0003@sreflect,5.0,2024-03-05,Your sleep schedule's been versatile; did this affect your wakefulness or daily focus?,"Not really. I have been having great sleep actually. Perhaps I need to stay up a little more so that I get going with my work. Otherwise, everything is great.",sleep,-0.5094,-0.7851,-0.2757,no,1,0,no,REFLECTIVE
t0003@sreflect,5.0,2024-03-06,You've been choosing texts and calls over face-to-face chats. How do you feel this shift is affecting your interactions?,I've been quite busy throughout the day. Abd u haven't been talking to my girlfriend very often. it's helping me concentrate on my work though.,social_interaction,-0.1983,-0.15,0.0483,yes,16,7,no,REFLECTIVE
t0003@sreflect,6.0,2024-03-08,"Despite a full plate with the academic term, you've kept up a decent mood. Reflecting on your digital habits, what's one change you'll make to enrich your in-person connections?",I would like to make less digital connections and more physical connections going forward. Physical interactions bring new perspectives that I need at the moment.,social_interaction,-0.0054,-0.1757,-0.1704,no,16,5,no,REDIRECTIVE
t0003@sreflect,6.0,2024-03-11,You've embraced texting more lately. How has this shift impacted your social dynamics and feelings?,"Not much. My texting depends on whether the person I text often is traveling or not. if they're traveling, I tend to text them more than when they're not. Otherwise, my routine remains the same and I'm not affected by it.",digital_habits,0.2182,0.1974,-0.0208,yes,5,1,no,REFLECTIVE
t0004@sreflect,1.0,2024-02-02,Noticed you're texting less. How have recent in-person conversations impacted your day?,"In general? They have boosted my self-esteem a lot. I think the times that I am upset are when people choose other people to talk to and I sit essentially in silence, unattended to.",digital_habits,-1.4301,-0.5257,0.9044,no,5,0,no,REFLECTIVE
t0004@sreflect,1.0,2024-02-04,"While connecting more in real life, how has your digital downtime affected your sleep recently?","Although spending more time with others has meant fewer hours of sleep, I feel as if my sleep quality is improved.",sleep,2.5482,0.1171,-2.4311,no,1,0,no,REFLECTIVE
t0004@sreflect,1.0,2024-02-05,"With your sleep start time increasing, consider adjusting your evening routine for better rest. What change could you make tonight?","I could probably find ways to stop the scroll, but I just feel so mentally exhausted that I fall into traps of doomscrolling.",sleep,0.8941,0.2675,-0.6266,no,1,0,no,REDIRECTIVE
t0004@sreflect,1.0,2024-02-06,You've been walking more yet traveling less distance. How might short but frequent walks benefit you?,They benefit me by giving me the opportunity to take breaks from work and rejuvenate my mind.,physical_fitness,-0.1187,-0.0531,0.0655,yes,5,1,no,REDIRECTIVE
t0004@sreflect,1.0,2024-02-07,You're reaching out more but spending less time in dialogue. How could this affect your social connections?,"This may make my connections feel less meaningful. My phone died, so that may reflect poorly on my social interaction.",social_interaction,0.5816,0.1443,-0.4373,no,16,2,no,REDIRECTIVE
t0004@sreflect,2.0,2024-02-08,Your screen time and unlocks have spiked. What offline activity could reduce your digital footprint while maintaining productivity?,I can go on more nature walks! And try to have in person conversations with friends,digital_habits,-0.3887,-0.3942,-0.0055,yes,5,2,no,REDIRECTIVE
t0004@sreflect,2.0,2024-02-09,Your walk time is up! What's the most refreshing route you've taken recently?,I liked walking around Occom Pond this evening. Very calm and quiet.,physical_fitness,-0.1262,-0.1854,-0.0592,no,5,0,no,REFLECTIVE
t0004@sreflect,2.0,2024-02-12,Your in-person social interactions are up! Can you draw parallels in how this shift corresponds with your sleep pattern changes?,I don't think that there is a profound impact on sleep schedule from social interaction. I think they both point to overall business right now.,sleep,0.1422,0.0169,-0.1253,no,1,0,no,REFLECTIVE
t0004@sreflect,2.0,2024-02-13,Your recent trend shows less walking and travel. Share one thing you'll do this week to introduce a bit more motion in your routine.,I actually have been travelling more than usual this week.,physical_fitness,-0.1854,-0.179,0.0064,yes,5,1,no,REDIRECTIVE
t0004@sreflect,3.0,2024-02-15,"Despite more screen time, I noticed you're connecting less through calls. What's one new way you'll spark a convo with someone this week?",I think I'll call my sister at some point. She is a joy to talk to.,social_interaction,0.3539,0.4331,0.0792,yes,16,6,no,REDIRECTIVE
t0004@sreflect,3.0,2024-02-16,You've been texting more but visiting new places too. Any cool spots you've discovered? How does exploring new scenery impact your well-being?,"I don't think there was anything especially new, but I definitely visited a variety of places. I sat at a table overlooking the library lobby today, and it freshened my day with a new perspective of my surroundings. I think that getting new perspectives and embracing the spontaneity of life brings regular small joys that make life itself a joy.",digital_habits,-0.3487,-0.471,-0.1223,yes,5,3,no,REFLECTIVE
t0004@sreflect,3.0,2024-02-20,Reflect on how your current digital habits are contributing to better sleep and how you might further enhance this balance.,I think that leaving my phone on the other side of the room keeps me from using it late into the night. I would benefit from keeping my phone notifications off and emotionally disconnecting as well.,sleep,0.5683,0.443,-0.1253,no,1,0,no,REDIRECTIVE
t0004@sreflect,4.0,2024-02-22,Consider the impact of less walking and more screen time on your well-being. Could increasing movement lighten your mood?,I think that more walking means more visiting with other people. Maybe I should walk more so that I can see Brooke Medley more often. :),physical_fitness,-0.1397,-0.0489,0.0908,yes,5,2,no,REDIRECTIVE
t0004@sreflect,4.0,2024-02-23,"Noticing your in-person conversations have picked up, how are those discussions shaping your day?",They are very fun and helpful! I enjoy talking to many people throughout the day.,social_interaction,0.503,0.4634,-0.0396,no,16,5,no,REFLECTIVE
t0004@sreflect,4.0,2024-02-25,Your phone unlocks are down from last week. How has this shift impacted your focus or free time?,"This has helped me get work done and enjoy more activities! That doesn't mean I don't procrastinate, though...",digital_habits,-0.3729,-0.403,-0.0301,yes,5,3,no,REFLECTIVE
t0004@sreflect,4.0,2024-02-26,Your in-person social interactions are blossoming! How do you feel these quality connections contrast with digital chatting?,I feel like having in-person conversations leaves me a lot more fulfilled than digital conversations ever could.,social_interaction,0.3013,0.2035,-0.0978,no,16,6,no,REFLECTIVE
t0004@sreflect,4.0,2024-02-27,You've been walking more lately! How does this boost in physical activity affect your daily energy levels?,I think that walking to more places throughout the day makes me feel generally happier than when I stay inside.,physical_fitness,-0.0374,-0.0747,-0.0374,no,5,1,no,REFLECTIVE
t0004@sreflect,4.0,2024-02-28,"Noticing a drop in call durations, how might refocusing that time improve your sleep routine?","I think that, in general, I don't call frequently enough for there to be an impact on my sleep.",sleep,0.3176,0.0921,-0.2256,no,1,0,no,REDIRECTIVE
t0004@sreflect,5.0,2024-02-29,Your walking has increased but gym time has dipped. Could outdoor activities be a new fitness focus for you?,"I definitely prefer outdoor activities over gym activities, so it may very well be that that is my focus during the spring.",physical_fitness,-0.007,-0.2241,-0.2171,no,5,0,no,REDIRECTIVE
t0004@sreflect,5.0,2024-03-01,Your in-person conversations are growing! Which recent face-to-face chat left you feeling more connected?,I enjoyed having a conversation with my significant other! I enjoy being vulnerable around him and feeling loved.,social_interaction,0.2035,0.211,0.0075,yes,16,4,no,REFLECTIVE
t0004@sreflect,5.0,2024-03-02,Your in-person conversations are growing! Which recent face-to-face chat left you feeling more connected?,I had to have a conversation with my significant other about what we both we concerned about with our relationship and I think we both came out as better people.,social_interaction,-0.0077,0.2505,0.2582,yes,16,4,no,REFLECTIVE
t0004@sreflect,5.0,2024-03-04,You've been finding more time for face-to-face chats lately. How have these conversations impacted your day?,Having more face to face conversations brightens my day a lot. I feel like an actual human being when I get more interactions.,social_interaction,0.3712,0.3287,-0.0425,no,16,5,no,REFLECTIVE
t0004@sreflect,5.0,2024-03-05,You've been engaging more in in-person chats; think of one that sparked joy or insight.,I went to the jewelry studio and made jewelry with Isadora today and had a lot of fun!,social_interaction,0.3114,0.2478,-0.0635,no,16,4,no,REFLECTIVE
t0004@sreflect,6.0,2024-03-10,Noticed your screen time is down recently – what offline activities are filling the gap and how do they make you feel?,"I have simply been putting my attention to hanging out with friends, and it feels very rewarding.",digital_habits,0.0,0.0,0.0,no,5,0,yes,REFLECTIVE
t0004@sreflect,6.0,2024-03-11,"Your call pattern has shifted remarkably; what novel ways have you found to connect with friends, and how has it influenced your social wellness?",I called my sister today. It was good to hear from her.,social_interaction,-0.1655,0.349,0.5146,yes,16,9,no,REFLECTIVE
t0004@sreflect,6.0,2024-03-12,"You're moving around more, but with less gym time. How is this new approach to fitness positively affecting your daily routine?",I don't know that it is affecting my daily routine.,physical_fitness,-0.1855,-0.3629,-0.1774,no,5,0,no,REFLECTIVE
t0004@sreflect,6.0,2024-03-13,"With increased phone call interactions and fewer visits outside, how have your interactions enriched your sense of community?","I am in a transitional period where I am saying goodbye to people close, so naturally I am inclined to reach out to people far from me to fill the space.",digital_habits,-0.6514,-0.3612,0.2902,no,5,0,no,REFLECTIVE
t0005@sreflect,1.0,2024-02-02,"Noticing a dip in social interactions, can you think of a person you've lost touch with and reach out to rekindle that connection?","I have recently reached out to one of my friends in high school, but there is no one really left at Dartmouth I could catch up with except C and I don't think we have anything in common anymore . Also, I forgot her birthday and I don't remember enough to do anything now and it'd just be awkward.",social_interaction,0.0,0.0,0.0,no,16,0,yes,REDIRECTIVE
t0005@sreflect,1.0,2024-02-04,Your journal shows fewer calls and texts lately. Share one step you'll take next week to bump up your social connections.,I could try asking one of my housemates to get a meal with me or texting someone to check in. i don't really have anyone I can text that I'm not already texting. I could try to make better friends with people in my classes but I don't really know how I'd do that.,social_interaction,-0.314,-0.1462,0.1677,yes,16,6,no,REDIRECTIVE
t0005@sreflect,1.0,2024-02-06,What's a new hobby you might explore to balance your screen time and support your newfound activity levels?,"I could start actually journaling again. that is something that would probably be good for me. Or drawing , I think I made drawing unfun by being too much of a perfectionist about it. Journaling and doing it with nice handwriting so I enjoy it would be a good thing to bring back and also handwriting some of my stories. I enjoyed doing that in high school and I should get a new notebook for it. Also doing more yoga outside of just my yoga class would be good.",digital_habits,0.8737,0.8614,-0.0124,yes,5,2,no,REDIRECTIVE
t0005@sreflect,2.0,2024-02-09,"With conversations and social engagements up, how might including a gym buddy enhance your fitness routine and mood?",I don't know anyone who'd want to go to the gym with me and I don't really think I'd want to start going.,social_interaction,-0.2508,-0.1226,0.1282,yes,16,7,no,REDIRECTIVE
t0005@sreflect,2.0,2024-02-12,Notice you've been less chatty on calls but more adventurous in texting. How's swapping calls for messages helping your social vibe?,"Well, I typically don't call anyone except my boyfriend in the first place. Texting is good but sometimes it stresses me out especially with K. I don't know what he wants from me. I need to not think about him so much.",social_interaction,-0.0461,-0.079,-0.0329,no,16,6,no,REFLECTIVE
t0005@sreflect,2.0,2024-02-14,You're spending more time in face-to-face chats lately. How do these in-person conversations impact your daily mood?,"I usually really enjoy having face to face conversations with people. for the most part, I leave them feeling better. occasionally I get anxious about something and I feel worse, but for the most part I want to have more face to face conversations.",social_interaction,-0.1039,-0.1454,-0.0416,no,16,8,no,REFLECTIVE
t0005@sreflect,2.0,2024-02-15,You're texting more but meeting less. Could drafting a message bring a similar joy as a quick coffee chat with a friend?,"i don't think it's quite the same. I'd rather meet and talk to people in person but it's hard to figure out. having dinner with k today just kind of made me sad because of how disengaged he was, but that's not his fault. it still brought my energy down though.",social_interaction,-0.1098,-0.1623,-0.0525,no,16,7,no,REDIRECTIVE
t0005@sreflect,3.0,2024-02-18,"Your texts have been more frequent lately. What prompted this shift, and how do you feel about the change in your digital communication?",i think digital communication is good though sometimes it stresses me out with people I don't know well. it really made me feel good that k said he was happy to spend time with me and of course I always love hearing from b. I think it's weird I'm talking to p more again but I don't know.,digital_habits,0.7814,0.5792,-0.2022,yes,5,4,no,REFLECTIVE
t0005@sreflect,3.0,2024-02-19,"Your walking duration is up. What's motivating this change, and how does it align with your fitness goals?","i am just walking more because I need to walk around more places, though it probably is good exercise. i do like going on walks and it's something I should find time for more especially when the weather is good.",physical_fitness,0.1348,0.3407,0.2059,yes,5,4,no,REFLECTIVE
t0005@sreflect,3.0,2024-02-20,You've been spending more time at the gym lately. Reflect on how this shift is supporting your wellness journey.,i like taking the yoga class and it definitely has benefitted me this term and inspired me to do more yoga and calisthenics on my off term.,physical_fitness,0.1551,0.1982,0.0431,yes,5,3,no,REFLECTIVE
t0005@sreflect,3.0,2024-02-21,Your screen usage is down lately. How do you think this is shaping your social connections and personal downtime?,"I'm happy my screen usage is down, I'm trying to live more in the moment and put down my phone more.",social_interaction,-0.3861,-0.1855,0.2006,yes,16,10,no,REFLECTIVE
t0005@sreflect,3.0,2024-02-22,You've visited new spots recently. How did these locales influence your daily rhythm and interactions?,"I haven't visited new spots recently really except Rockefeller. i really like the natural light in there and noisiness, makes it a good study spot.",physical_fitness,0.3232,0.0145,-0.3086,no,5,0,no,REFLECTIVE
t0005@sreflect,4.0,2024-02-23,"Noticing you're at home more, has this been a space for reconnecting with personal interests or reflecting?",I've just really been tired lateky and needing rest and sad so I stay at home.,social_interaction,-0.282,-0.3713,-0.0894,no,16,6,no,REFLECTIVE
t0005@sreflect,4.0,2024-02-25,You've embraced more running lately. How has this energized you or fit into your routine?,i haven't done any running at all it makes my chest hurt.,physical_fitness,0.1266,0.1393,0.0127,yes,5,3,no,REFLECTIVE
t0005@sreflect,4.0,2024-02-26,You seem quieter on calls and texts lately. Could a catch-up with friends bring some cheer?,"yeah, but there's no one for me to catch up with except k and I don't want to bother him.",social_interaction,-0.2399,-0.2307,0.0092,yes,16,5,no,REDIRECTIVE
t0005@sreflect,4.0,2024-02-27,Your outgoing calls have spiked while in-person chatter dipped. Do you find phone conversations more rewarding these days?,"I don't think I've found phone conversations more rewarding, I've just been kind of isolated the past few days except for talking to brian.",digital_habits,1.0196,0.873,-0.1466,yes,5,3,no,REFLECTIVE
t0005@sreflect,4.0,2024-02-28,Your increased in-person conversations suggest you're quite the social butterfly! What’s one recent interaction that felt particularly meaningful?,"i liked talking to a today in lab and then my ekt initiation was nice, I don't feel awkward talking to people there.",social_interaction,-0.312,-0.1587,0.1533,yes,16,12,no,REFLECTIVE
t0005@sreflect,4.0,2024-02-29,You're dialing down the digital and ramping up the in-person rapport! Can you share how prioritizing face-to-face interactions lately has impacted your day-to-day life?,talking to people in person has been helpful. i like face to face conversations,social_interaction,-0.2462,-0.2065,0.0396,yes,16,9,no,REFLECTIVE
t0005@sreflect,5.0,2024-03-06,Your running has really picked up! How do you envision incorporating this momentum into your routine?,"I've just been walking more and that is enjoyable, I should continue going on regular walks and hikes in spring term.",physical_fitness,0.1185,0.0678,-0.0506,no,5,2,no,REFLECTIVE
t0005@sreflect,5.0,2024-03-07,Your running has really picked up! How do you envision incorporating this momentum into your routine?,I got the same question yesterday and I haven't been running. I've just gone on a couple walks.,physical_fitness,0.1429,0.0046,-0.1383,no,5,2,no,REFLECTIVE
t0005@sreflect,6.0,2024-03-08,Your running has really picked up! How do you envision incorporating this momentum into your routine?,I've gotten the same prompt 3 days in a row and I've never gone running. i just wander around campus.,physical_fitness,0.171,-0.1143,-0.2853,no,5,2,no,REFLECTIVE
t0005@sreflect,6.0,2024-03-11,"Even though you've spent more time at home, who have you managed to connect with recently, and how did that interaction uplift you?","my parents, I enjoy seeing them again and also Jasper the dog. I'm glad he likes me again now.",social_interaction,-0.1381,-0.3807,-0.2427,no,16,2,no,REFLECTIVE
t0006@sreflect,1.0,2024-02-04,Your in-person chat time has dipped lately. Reflect on how diversifying your interaction spaces could enhance your social life this week.,"Sunday is the day I take to rest and reset, so I have enough energy for my friend and family tomorrow. next week I plan on hanging out with a few new friends and getting to know them better, so I expect my social circle to diversify.",social_interaction,-0.0274,-0.341,-0.3136,no,16,2,no,REDIRECTIVE
t0006@sreflect,1.0,2024-02-05,"As your walking time has picked up, what new destinations have captured your interest, and how did these exploratory strolls benefit you?","walking helps me clear my head and get some fresh air. I also enjoy the company of friends while walking. When feeling overwhelmed with work or when I need a change of scene, I tend to take a light stroll which helps me a lot.",physical_fitness,-0.2561,-0.2025,0.0535,yes,5,1,no,REFLECTIVE
t0006@sreflect,1.0,2024-02-06,Consider experimenting with a sleep schedule tweak to wake up feeling more refreshed tomorrow. What's one change you could try tonight?,"I will try to finish up my work early tonight and go to bed soon. So, when I wake up tomorrow for class, I will get around 8 hours of sleep. This should help make me feel refreshed tomorrow for a new set of experiments I'm planning on doing tomorrow!",sleep,0.4179,0.0921,-0.3258,no,1,0,no,REDIRECTIVE
t0006@sreflect,1.0,2024-02-08,You've been moving more lately. How has the increase in walks influenced your daily energy levels?,"More walking keeps me energetic and busy. if I just sit in one place, I tend to get tired of my work and eventually get distracted. So taking a small walk around the lab or house helps me stay focused and more productive.",physical_fitness,-0.2002,-0.227,-0.0268,no,5,0,no,REFLECTIVE
t0006@sreflect,2.0,2024-02-09,"Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?",I only called 1 person for an urgent thing. But had regular conversations with my friends and family.,social_interaction,-0.4295,-0.337,0.0924,yes,16,6,no,REFLECTIVE
