uid,day,prompt,category
t0002@sreflect,2024-02-07 23:17:41.007,Your screen interactions have gone up recently. Can you identify a positive interaction you had online today?,social_interaction
t0002@sreflect,2024-02-07 23:17:41.007,"Noticing a shift toward texting, how does this change in communication style affect your sense of connection?",social_interaction
t0002@sreflect,2024-02-07 23:17:41.007,Your screen interactions have gone up recently. Can you identify a positive interaction you had online today?,social_interaction
t0012@sreflect,2024-02-08 21:05:01.786,Your recent trend shows increased screen time and use of social apps. How might you plan a tech-free activity to enrich your day?,digital_habits
t0012@sreflect,2024-02-08 21:05:01.786,"Reflecting more time at home, could you design a short evening routine to enhance both your sleep and offline relaxation?",sleep
t0012@sreflect,2024-02-08 21:05:01.786,Your recent trend shows increased screen time and use of social apps. How might you plan a tech-free activity to enrich your day?,digital_habits
t0015@sreflect,2024-02-08 20:54:56.914,Noticed you're spending less time on calls and meetings. How might a short catch-up with someone today add to your vibe?,social_interaction
t0015@sreflect,2024-02-08 20:54:56.914,"Who brightened your day recently, and how could you thank them?",sleep
t0015@sreflect,2024-02-08 20:54:56.914,Noticed you're spending less time on calls and meetings. How might a short catch-up with someone today add to your vibe?,social_interaction
t0004@sreflect,2024-02-08 21:02:37.334,Your screen time and unlocks have spiked. What offline activity could reduce your digital footprint while maintaining productivity?,digital_habits
t0004@sreflect,2024-02-08 21:02:37.334,"You're investing more time in face-to-face chats, which is great. How do these interactions enrich your day?",social_interaction
t0004@sreflect,2024-02-08 21:02:37.334,Your screen time and unlocks have spiked. What offline activity could reduce your digital footprint while maintaining productivity?,digital_habits
t0016@sreflect,2024-02-08 21:18:17.563,"With less screen time lately, what new hobbies or activities are filling up your day?",digital_habits
t0016@sreflect,2024-02-08 21:18:17.563,It seems you've spent less time at the gym lately. What's one positive change you can make to include more fitness into your week?,physical_fitness
t0016@sreflect,2024-02-08 21:18:17.563,"With less screen time lately, what new hobbies or activities are filling up your day?",digital_habits
t0002@sreflect,2024-02-08 21:21:39.773,You've been cozy in your dorm more lately. How about starting your day with a stretch or a short walk to mix things up?,physical_fitness
t0002@sreflect,2024-02-08 21:21:39.773,Noticed fewer calls but more visits to places lately. Reflect on somewhere new you explored and how it felt to switch up your routine.,digital_habits
t0002@sreflect,2024-02-08 21:21:39.773,You've been cozy in your dorm more lately. How about starting your day with a stretch or a short walk to mix things up?,physical_fitness
t0006@sreflect,2024-02-08 21:10:53.009,You've been moving more lately. How has the increase in walks influenced your daily energy levels?,physical_fitness
t0006@sreflect,2024-02-08 21:10:53.009,Notice how screen time has gone up yet your digitized chats dipped. Which unplugged activities could replace some screen time today?,digital_habits
t0006@sreflect,2024-02-08 21:10:53.009,You've been moving more lately. How has the increase in walks influenced your daily energy levels?,physical_fitness
t0010@sreflect,2024-02-08 21:12:30.434,"With your recent boost in screen time, what's one less vital app you might curb to enhance your focus or rest?",digital_habits
t0010@sreflect,2024-02-08 21:12:30.434,Your walks have been more frequent. How does this change in routine reflect on your day and mood?,physical_fitness
t0010@sreflect,2024-02-08 21:12:30.434,"With your recent boost in screen time, what's one less vital app you might curb to enhance your focus or rest?",digital_habits
t0003@sreflect,2024-02-08 21:53:29.931,Your running has really picked up! How does integrating more dynamic movement shape your day and mood?,physical_fitness
t0003@sreflect,2024-02-08 21:53:29.931,Notice any moments today when the support of friends brought you comfort or a smile?,social_interaction
t0003@sreflect,2024-02-08 21:53:29.931,Your running has really picked up! How does integrating more dynamic movement shape your day and mood?,physical_fitness
t0009@sreflect,2024-02-08 21:57:16.698,Your recent trends show a shift towards texting. How is this change impacting your daily life and connections?,digital_habits
t0009@sreflect,2024-02-08 21:57:16.698,Your recent trend shows more SMS interactions. Who did you reach out to today and how did it uplift your mood?,digital_habits
t0009@sreflect,2024-02-08 21:57:16.698,Your recent trends show a shift towards texting. How is this change impacting your daily life and connections?,digital_habits
t0011@sreflect,2024-02-08 22:03:12.966,"Noticing a hike in social app usage, how have these platforms helped or distracted from your academic goals?",digital_habits
t0011@sreflect,2024-02-08 22:03:12.966,"Noticing a lot of indoor time lately, what's one indoor hobby you've ramped up, and how does it fit into your routine?",physical_fitness
t0011@sreflect,2024-02-08 22:03:12.966,"Noticing a hike in social app usage, how have these platforms helped or distracted from your academic goals?",digital_habits
t0013@sreflect,2024-02-08 22:05:12.788,"Reflecting on your digital leaps, could a new app or habit be eating into your sleep routine?",sleep
t0013@sreflect,2024-02-08 22:05:12.788,"With your phone being more of a social hub lately, how has this shift impacted your daily routine?",digital_habits
t0013@sreflect,2024-02-08 22:05:12.788,"Reflecting on your digital leaps, could a new app or habit be eating into your sleep routine?",sleep
t0007@sreflect,2024-02-08 22:11:21.950,"Your screen time's steady, but unlocks and social app use soared. How might moderating these affect tomorrow's focus?",digital_habits
t0007@sreflect,2024-02-08 22:11:21.950,You're reaching out less by phone. What's one new meaningful in-person interaction you've had?,social_interaction
t0007@sreflect,2024-02-08 22:11:21.950,"Your screen time's steady, but unlocks and social app use soared. How might moderating these affect tomorrow's focus?",digital_habits
t0008@sreflect,2024-02-08 22:18:38.012,You've been exploring more places recently! How does being in different environments impact your energy and mood?,physical_fitness
t0008@sreflect,2024-02-08 22:18:38.012,You've been exploring more places lately. Think of one spot that boosted your mood and how you might infuse that vibe into your daily routine.,sleep
t0008@sreflect,2024-02-08 22:18:38.012,You've been exploring more places recently! How does being in different environments impact your energy and mood?,physical_fitness
t0005@sreflect,2024-02-08 22:31:02.221,Exploring new places seems to be on the rise for you! What's a standout spot you've discovered and how has it impacted your social vibes?,digital_habits
t0005@sreflect,2024-02-08 22:31:02.221,"Seeking joy in the little things, have any impromptu interactions lately brought a smile to your face?",social_interaction
t0005@sreflect,2024-02-08 22:31:02.221,Exploring new places seems to be on the rise for you! What's a standout spot you've discovered and how has it impacted your social vibes?,digital_habits
t0015@sreflect,2024-02-09 19:03:00.056,Reflect on one positive thing that brings you comfort before sleep. How can you include it in your nightly routine?,sleep
t0015@sreflect,2024-02-09 19:03:00.056,Noticed you're spending less time on calls and meetings. How might a short catch-up with someone today add to your vibe?,social_interaction
t0015@sreflect,2024-02-09 19:03:00.056,Reflect on one positive thing that brings you comfort before sleep. How can you include it in your nightly routine?,sleep
t0016@sreflect,2024-02-09 20:31:59.950,Your in-person chatter has spiked. Can you share why and how this shift in conversation style has benefited your social life?,social_interaction
t0016@sreflect,2024-02-09 20:31:59.950,"Noting a shift towards in-person interactions, consider why you're choosing this over digital communication lately. What are you gaining from it?",social_interaction
t0016@sreflect,2024-02-09 20:31:59.950,Your in-person chatter has spiked. Can you share why and how this shift in conversation style has benefited your social life?,social_interaction
t0004@sreflect,2024-02-09 21:02:16.326,Your walk time is up! What's the most refreshing route you've taken recently?,physical_fitness
t0004@sreflect,2024-02-09 21:02:16.326,"With fewer phone calls, what's one in-person interaction that brought value to your day?",digital_habits
t0004@sreflect,2024-02-09 21:02:16.326,Your walk time is up! What's the most refreshing route you've taken recently?,physical_fitness
t0016@sreflect,2024-02-09 21:04:44.486,Your in-person chatter has spiked. Can you share why and how this shift in conversation style has benefited your social life?,social_interaction
t0016@sreflect,2024-02-09 21:04:44.486,"Noting a shift towards in-person interactions, consider why you're choosing this over digital communication lately. What are you gaining from it?",social_interaction
t0016@sreflect,2024-02-09 21:04:44.486,Your in-person chatter has spiked. Can you share why and how this shift in conversation style has benefited your social life?,social_interaction
t0011@sreflect,2024-02-09 21:02:32.178,Your frequent spots have changed recently. Reflect on your favorite new find and what it adds to your day.,physical_fitness
t0011@sreflect,2024-02-09 21:02:32.178,"Your increased walking and explorations are interesting, any new favorite routes or sceneries that uplifted your day?",physical_fitness
t0011@sreflect,2024-02-09 21:02:32.178,Your frequent spots have changed recently. Reflect on your favorite new find and what it adds to your day.,physical_fitness
t0005@sreflect,2024-02-09 21:12:56.798,"With conversations and social engagements up, how might including a gym buddy enhance your fitness routine and mood?",social_interaction
t0005@sreflect,2024-02-09 21:12:56.798,Your recent boosts in real-life chats are impressive! How do these convos benefit you compared to digital ones?,digital_habits
t0005@sreflect,2024-02-09 21:12:56.798,"With conversations and social engagements up, how might including a gym buddy enhance your fitness routine and mood?",social_interaction
t0006@sreflect,2024-02-09 22:03:35.316,"Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?",social_interaction
t0006@sreflect,2024-02-09 22:03:35.316,Notice any change in your mood after fewer calls and meetups contrasted with more social app usage?,digital_habits
t0006@sreflect,2024-02-09 22:03:35.316,"Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?",social_interaction
t0008@sreflect,2024-02-09 22:18:46.335,"Noticing fewer calls and texts lately, have in-person chats or solitary activities filled the gap? How's that shaping your day?",digital_habits
t0008@sreflect,2024-02-09 22:18:46.335,Your walks are on the rise lately. Recall a recent walk and share how it lifted your spirits or offered a fresh perspective.,physical_fitness
t0008@sreflect,2024-02-09 22:18:46.335,"Noticing fewer calls and texts lately, have in-person chats or solitary activities filled the gap? How's that shaping your day?",digital_habits
