,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
14,I see you've been visiting new places but your calls and texts have dropped. Can you share what's drawing you to these spots and how it's impacting you?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",0.6770625820783316,False
15,Reflect on a hobby that uplifts you and how you could make time for it this week.,2,2_week_keep_reflect_on,"['week', 'keep', 'reflect', 'on', 'it', 'you', 'this', 'for', 'that', 'your']","['Reflect on a recent challenge you overcame this week. How did it contribute to your personal growth? Keep thriving!', 'Reflect on a moment this week where you overcame an academic challenge and how it made you feel. Thanks for your openness and keep growing!', ""Reflect on a challenge you overcame this week and how it's shaped your perspective. Keep shining on your journey!""]",week - keep - reflect - on - it - you - this - for - that - your,0.8700449903382197,False
16,You're swapping screen-time for face-time and the gym. How does this change impact your sense of connection and well-being?,1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",0.734666403784871,False
17,"Reflect on an interaction this week that left an impression, and describe what it taught you about communication. Thank yourself for engaging!",2,2_week_keep_reflect_on,"['week', 'keep', 'reflect', 'on', 'it', 'you', 'this', 'for', 'that', 'your']","['Reflect on a recent challenge you overcame this week. How did it contribute to your personal growth? Keep thriving!', 'Reflect on a moment this week where you overcame an academic challenge and how it made you feel. Thanks for your openness and keep growing!', ""Reflect on a challenge you overcame this week and how it's shaped your perspective. Keep shining on your journey!""]",week - keep - reflect - on - it - you - this - for - that - your,1.0,False
18,You've been favoring texts over face-to-face chats. In what ways has this shift made your conversations more meaningful or perhaps less engaging this past week?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",0.9862897631410005,False
19,Your screen time has spiked while social app interaction dipped. Could tweaking your digital habits enhance your overall wellness next week?,1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",1.0,False
20,Take a moment to name one thing you did for yourself today that felt nurturing.,2,2_week_keep_reflect_on,"['week', 'keep', 'reflect', 'on', 'it', 'you', 'this', 'for', 'that', 'your']","['Reflect on a recent challenge you overcame this week. How did it contribute to your personal growth? Keep thriving!', 'Reflect on a moment this week where you overcame an academic challenge and how it made you feel. Thanks for your openness and keep growing!', ""Reflect on a challenge you overcame this week and how it's shaped your perspective. Keep shining on your journey!""]",week - keep - reflect - on - it - you - this - for - that - your,0.9109384260615051,False
21,"Curious, with gym time up but overall activity less, how might incorporating a quick outdoor walk boost your day and connections?",4,"4_Physical Fitness (exercise, physical activity, distance travelled)___","['Physical Fitness (exercise, physical activity, distance travelled)', '', '', '', '', '', '', '', '', '']","[""Your walks have picked up pace lately. What's motivating you to step out more, and how does it boost your day?"", 'Your walking time is up. How does this new pace support your physical fitness goals?', ""You've been walking more lately. How does this change of pace impact your daily routine and focus?""]","Physical Fitness (exercise, physical activity, distance travelled) -  -  -  -  -  -  -  -  - ",1.0,False
22,"With gym visits up but running down, consider trying a new sport this week for fun. How do you feel about that?",6,"6_Physical Fitness (exercise, physical activity, distance travelled)___","['Physical Fitness (exercise, physical activity, distance travelled)', '', '', '', '', '', '', '', '', '']","['With less time at the gym and running taking center stage, how will you adapt your fitness routine moving forward?', 'With less time at the gym and running taking center stage, how will you adapt your fitness routine moving forward?', 'With less time at the gym and running taking center stage, how will you adapt your fitness routine moving forward?']","Physical Fitness (exercise, physical activity, distance travelled) -  -  -  -  -  -  -  -  - ",0.8606084273773098,False
23,Is there a friend who's been a great support this week? Share how they've brightened your days.,2,2_week_keep_reflect_on,"['week', 'keep', 'reflect', 'on', 'it', 'you', 'this', 'for', 'that', 'your']","['Reflect on a recent challenge you overcame this week. How did it contribute to your personal growth? Keep thriving!', 'Reflect on a moment this week where you overcame an academic challenge and how it made you feel. Thanks for your openness and keep growing!', ""Reflect on a challenge you overcame this week and how it's shaped your perspective. Keep shining on your journey!""]",week - keep - reflect - on - it - you - this - for - that - your,1.0,False
24,Your social interactions have lessened recently. Can you think of a person you haven't caught up with in a while to reconnect with? How might that feel?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",0.7192003571959777,False
25,Recent trends show a noteworthy increase in your in-person connections. Reflect on how these face-to-face interactions contribute to your mood.,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,False
26,How did overcoming a challenge this week push your personal growth forward? Shoutout to your resilience! Keep thriving. 🚀,2,2_week_keep_reflect_on,"['week', 'keep', 'reflect', 'on', 'it', 'you', 'this', 'for', 'that', 'your']","['Reflect on a recent challenge you overcame this week. How did it contribute to your personal growth? Keep thriving!', 'Reflect on a moment this week where you overcame an academic challenge and how it made you feel. Thanks for your openness and keep growing!', ""Reflect on a challenge you overcame this week and how it's shaped your perspective. Keep shining on your journey!""]",week - keep - reflect - on - it - you - this - for - that - your,1.0,False
27,You've been connecting less on calls and spending more time in your dorm. What's one new hobby you could explore there to boost your joy?,1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",1.0,False
28,"Social interactions are blooming! With your trend in meaningful conversations growing, explore one insightful topic you discussed recently and its impact on you.",0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,False
29,Your in-person interactions have taken an upbeat turn! Reflect on how diversifying your hangout spots improved these encounters.,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,False
30,You've been more focused offline lately. How has decreasing screen time opened up new ways for you to relax or engage with hobbies?,1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",1.0,False
31,Your running has really picked up! How does integrating more dynamic movement shape your day and mood?,5,"5_Physical Fitness (exercise, physical activity, distance travelled)___","['Physical Fitness (exercise, physical activity, distance travelled)', '', '', '', '', '', '', '', '', '']","['Your running has really picked up! How do you envision incorporating this momentum into your routine?', 'Your running has really picked up! How do you envision incorporating this momentum into your routine?', 'Your running has really picked up! How do you envision incorporating this momentum into your routine?']","Physical Fitness (exercise, physical activity, distance travelled) -  -  -  -  -  -  -  -  - ",1.0,False
32,"Reflecting on recent changes, how can swapping digital chatter for real-world convos enhance your well-being?",0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",0.5303627623643321,False
33,Your increased running and walking activity is impressive! How do these changes in your fitness routine contribute to your overall well-being?,5,"5_Physical Fitness (exercise, physical activity, distance travelled)___","['Physical Fitness (exercise, physical activity, distance travelled)', '', '', '', '', '', '', '', '', '']","['Your running has really picked up! How do you envision incorporating this momentum into your routine?', 'Your running has really picked up! How do you envision incorporating this momentum into your routine?', 'Your running has really picked up! How do you envision incorporating this momentum into your routine?']","Physical Fitness (exercise, physical activity, distance travelled) -  -  -  -  -  -  -  -  - ",0.9077404524089148,False
34,"Your social interaction via calls and texts has dropped, but in-person chat is up. How's this affecting your social vibes?",0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,False
35,You've embraced more in-person connections lately. How has this shift to face-to-face interactions enhanced your friendships?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,False
36,Your decreased screen time suggests more space for other activities. Could you pinpoint how this has influenced your social interactions this past week?,1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",1.0,False
37,Your phone calls have dwindled recently. How have changes in your communicative behavior touched your daily interactions or mood?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,False
38,Your recent calls show a shift towards outgoing more than incoming. Has initiating conversations affected your relationships or wellbeing?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,False
39,You've been visiting more places lately. How has exploring new environments influenced your day-to-day life?,3,3_places_new_exploring_more,"['places', 'new', 'exploring', 'more', 'youve', 'visiting', 'been', 'your', 'how', 'spots']","[""Noticed you've been exploring more places lately. How does this change in scenery reflect in your daily routine and energy levels?"", ""You've been visiting more places lately. How has exploring new environments influenced your day-to-day life?"", ""You've been exploring more places lately. How does visiting new spots shape your day?""]",places - new - exploring - more - youve - visiting - been - your - how - spots,1.0,True
40,You're moving around less but running more. How is this changing your energy levels or fitness goals?,5,"5_Physical Fitness (exercise, physical activity, distance travelled)___","['Physical Fitness (exercise, physical activity, distance travelled)', '', '', '', '', '', '', '', '', '']","['Your running has really picked up! How do you envision incorporating this momentum into your routine?', 'Your running has really picked up! How do you envision incorporating this momentum into your routine?', 'Your running has really picked up! How do you envision incorporating this momentum into your routine?']","Physical Fitness (exercise, physical activity, distance travelled) -  -  -  -  -  -  -  -  - ",0.9541147609243207,False
41,Your call and message logs show less reaching out. How can you maintain your social ties this week?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,False
42,"Seeing more incoming calls lately, what new connections have you made, and how has this affected your daily routine?",0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,False
43,Your screen use is up lately. Reflect on how prioritizing screen time over sleep has influenced your day.,1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",1.0,False
44,You've been reaching out more on calls and texts. How are these chats shaping your days?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,True
45,"Who in your life deserves a 'thank you' this week, and what for?",2,2_week_keep_reflect_on,"['week', 'keep', 'reflect', 'on', 'it', 'you', 'this', 'for', 'that', 'your']","['Reflect on a recent challenge you overcame this week. How did it contribute to your personal growth? Keep thriving!', 'Reflect on a moment this week where you overcame an academic challenge and how it made you feel. Thanks for your openness and keep growing!', ""Reflect on a challenge you overcame this week and how it's shaped your perspective. Keep shining on your journey!""]",week - keep - reflect - on - it - you - this - for - that - your,0.981310784463921,False
46,Your sleep schedule's been versatile; did this affect your wakefulness or daily focus?,1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",1.0,False
47,You've been choosing texts and calls over face-to-face chats. How do you feel this shift is affecting your interactions?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,False
48,"Despite a full plate with the academic term, you've kept up a decent mood. Reflecting on your digital habits, what's one change you'll make to enrich your in-person connections?",1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",1.0,False
49,"How did using your time creatively this week help you manage your academic and social balance? Thanks for your insights, keep it up!",2,2_week_keep_reflect_on,"['week', 'keep', 'reflect', 'on', 'it', 'you', 'this', 'for', 'that', 'your']","['Reflect on a recent challenge you overcame this week. How did it contribute to your personal growth? Keep thriving!', 'Reflect on a moment this week where you overcame an academic challenge and how it made you feel. Thanks for your openness and keep growing!', ""Reflect on a challenge you overcame this week and how it's shaped your perspective. Keep shining on your journey!""]",week - keep - reflect - on - it - you - this - for - that - your,1.0,False
50,You've embraced texting more lately. How has this shift impacted your social dynamics and feelings?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,False
51,Noticed you're texting less. How have recent in-person conversations impacted your day?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",0.9726273416948396,False
