StartDate,EndDate,Duration (in seconds),RecordedDate,Uid,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q41,Q38,Q42,Q39,Q40,Q43,Q44,Q45,Q50,Q51,Q46,Q47,Q48,Q49,reoi
3/12/24 14:39,3/12/24 15:05,1520,3/12/24 15:05,t0007@sreflect,2,1,5,1,5,1,5,1,5,1,3,3,4,2,2,5,4,4,5,0,2,3,2,N/A,I do not recall specific prompts that significantly resonated with me. They were just nice to reflect on how my day went. ,N/A,"It has made me a lot more cognizant of using my phone throughout the day, since I need to ensure that I check in throughout the day and that I don't miss the journaling session. I think that the journaling has helped me reflect on my daily tasks, so it has made me recognize stuff that I sometimes take for granted.",I think it would be better to have more general prompts sometimes that aid in reflection. ,"I enjoy the journaling sessions at the end of each day, but I am not the biggest fan of the check-ins. I think it is better to have more reflective prompts. ","It would be nice to have meditation sessions, with the breathing sessions that you can do whenever you want. ",,22
3/12/24 18:33,3/12/24 19:00,1622,3/12/24 19:00,t0020@sreflect,2,3,4,3,4,2,4,2,3,4,2,3,5,5,3,2,2,2,2,0,1,2,1,I didn't notice any difference other than I was reflecting a little everyday. I gave a similar quality to the prompts when I felt they were relevant to my day as I have done in the past with free form journaling.,There was a prompt that asked about a recent dream which caused me to reflect on what the was the deeper meaning to a dream I had; it led me to be more self-aware of my worries and how that affected my sleep.,N/A,N/A,"Many times, the app didn't seem to be aware of where I lived and would ask me questions about being in my dorm when I wasn't there. Also, it thought I was chatting with people when I would be in an area where people were talking even if I wasn't necessarily doing the talking. Finally, it thought I picked up the habit of running when I didn't, so I don't know what kind of movements I was making with my phone on me that caused the app to think I was running.",I didn't like the inaccurate prompts and check-ins.,The ability to connect to a smart watch to check physical movement and sleep.,N/A,32
3/13/24 7:55,3/13/24 8:17,1320,3/13/24 8:17,t0015@sreflect,4,1,5,4,4,4,5,2,4,1,3,4,3,2,4,4,4,4,4,5,3,3,1,N/A,I remember this prompt where Mindscape was telling me that my screen time is long. Mindscape was asking me how can I reduce my screen time and build social life. This prompt resonated with me because after evaluating myself I found like I've been really spending a lot of time on my phone. Because seeing this prompt in consecutive days made me change my habit. I was like let me try to change it such that you know like I want to see the same prompt next day and slowly I'm achieving that. This was one of many moments of like self awareness.,"I've been seeing improvement in my social life. This is through prompts that make me refract on like what is the importance of grinding a conversation with my friends, a day spent you know like outside of like my academic life, and so more. The most outstanding change that of noticed is my social life that is the way I interact with my friends",N/A,Sometimes  the prompt were the same. I remember like receiving the same prompts for like 3 days. And then I started to question like is this app working normally. So if there can be this variety of prompt the APK would more amazing,I really liked the idea of  prompting or more times per day. It was a moment of self-discovery and self reflection. However I don't know if this is something that can be proved but the app slightly over consumed the battery because of its access to almost every part of my phone so if this can be improved I would really like to continue using the app.,If they can be this thing where the user also  has this authority to write something  even outside prompting time that would be amazing. The way the application is is like so you're going to honor get the prompt and answer them but what if I want to say like all have appreciated the conversation with my friend immediately like after that conversation so if they can be this option where I can also add something that I found wreck important for my mental health or wreck my life in general that would be amazing,I think in general the app is really amazing. About which features to improve you have communicated that in previous prompts. The improvement of this application would already benefit the users and this is something that can really be helpful especially for college students,7
3/11/24 11:33,3/13/24 9:55,166908,3/13/24 9:55,t0017@sreflect,2,1,4,1,3,3,4,2,3,1,2,3,3,5,4,3,3,4,3,0,2,1,1,"I thought that the prompts were not as accurate and were very much repetitive. Hence, I think I did not see any difference in the quality of my reflections. I would prefer to use standard journaling with no prompts. ","Most of my prompts were about screen time. ""How was it to take a break from screen time and have face-to-face interactions"", and ""Seems like you have been walking more and switching from screen time"". It was motivating to notice that my screen time was reduced, but I do not think the prompts were accurate all the time. ",N/A,"For me, prompt-based journaling was not effective. I have wanted to talk about other things that were probably more important to me, but the app was not able to catch that. Maybe a more general prompt at the end of the day would be more beneficial. ","As I mentioned before, having a more general prompt would be better at the end of the day. In addition, there was too much repetition in the prompts. Maybe collecting more diverse data or taking some input from the user about what are the things they most frequently want to journal about will be a more useful starting point. ",N/A,N/A,N/A,33
3/13/24 11:30,3/13/24 11:37,369,3/13/24 11:37,t0014@sreflect,4,1,5,1,4,1,4,1,4,2,3,2,4,4,4,4,5,4,5,0,1,2,1,"I tended to produce less lengthy journal prompts with this app, but found that they were often pretty specific and efficient in the length of the response I gave. ","There was one where it noticed that I had been calling people on the phone less, this one was interesting to think about and connect to my recent social patterns. ",N/A,N/A,"I'm not sure that there is a necessarily better way to improve these prompts without spying on actual words people are using in their conversations/texts. If previous prompt responses influence future prompts more, that could help keep somewhat of a narrative going between journal reflections. ","Overall it was a very pleasant app to use! It just gave me some notifications throughout the data, and I responded to them when I was available/if I was awake. ","Battery usage definitely increased a decent amount with this app, if there are ways to improve that, this could be a beneficial improvement. ",,25
3/13/24 12:46,3/13/24 13:07,1296,3/13/24 13:07,t0010@sreflect,3,1,4,1,4,1,5,1,5,1,3,3,3,4,4,4,3,3,5,0,1,2,1,"Free-form journaling I can reflect on an exchange or conversation that stuck with me throughout the day, dive into something that is bothering me. I feel like the prompts are a little more surface level, can get a little bit repetitive, and are sometimes based on metrics that might be irrelevant. For example, in a day where I got a lot of spam calls (didn't answer), the prompt was about how I had been on the phone a lot lately, even though I really hadn't been. ",When it asked me about exchanges I had during the day that stuck with me. I feel like that was most helpful prompt for reflection for me.,"I don't know if I ever changed by behavior due to the app. This experience has kind of caught me in a very busy era, I'm just in survival mode. It would point out days when I spent less time on my phone, which was my goal. But the reason for being on my phone less is I have been so busy, not because I was actively avoiding being on my phone.","When it points out that I have been texting a lot lately, I think it prompts to think about and appreciate the friendships I have","I don't know if the answers to my prompts inform future prompts, but I think that could be helpful. I think every now and then a prompt not based off data could also be good for the journaler. ","I think it definitely has potential to help with daily habits, especially digital habits. I didn't like how repetitive the prompts sometimes got. But it did initiate some reflection on the interactions I had throughout the day, how I value the people in my life, that part was nice. ",Journaling at any point during the day could be nice. Maybe a little tracker of whether I not I answered the prompt for that day. Also choosing the timing of journaling prompts would be nice. ,Could it be linked to a fitness tracker? Like a fitbit?,24
3/13/24 19:49,3/13/24 20:11,1340,3/13/24 20:11,t0008@sreflect,4,1,5,1,3,1,4,4,4,1,4,3,4,4,4,4,4,4,2,4,3,5,2,"Considering that the app knows what is going on in my life, I found it interesting that the prompts where connected to what was going on in my life. So, it usually focused on some aspect I would not necessarily pay attention when doing my regular journaling.","I gues the prompts that asked me something about how are changes in my life (related to being more active) are helping my sleep quality where really good ones, and made me reflect on the topic and then be aware of it.","The app noticed I was going for long walks and asked me how I felt doing this. After reflecting, I decided to do this more often to enjoy nature outside.","Yes, a lot!! I somehow feel that it is nice that the app knows what I'm doing and makes me think about it all. For instance, I've been trying to have better sleep habits, exercise, and enjoy the outdoor world. Also, I've been going on walks after work, and it's nice to get the app's feedback saying things like ""noticed you went on a refreshing walk, how was that?"".",I think the prompts are good. ,"I liked the app, it has been a refresh in the day to use it. I think it was a little bit demanding to every night do it (or maybe just a little bit annoying to get the notifications until you do it, but I understand the app is just trying to make sure you feel it out. Despite that, the prompts and the check-ins were really nice (sometimes the check-in was not accurate).","The app was running slowly on my phone (when I typed, there was a delay). I think that the interface can look more attractive to sell this idea of mindfulness and journaling.",Maybe an integration with smartwatches could be usefull as well.,3
3/13/24 8:10,3/13/24 20:39,44928,3/13/24 20:39,t0012@sreflect,4,1,5,1,4,3,4,2,4,1,3,2,3,3,4,3,3,3,4,3,2,1,1,N/A,"Talking about accomplishments that I felt proud of - it allowed me to reflect on the positives and be more thankful of smaller things, which is harder to do regularly without someone explicitly asking me to share them.",I found myself focusing on myself and meditating during the 1 minute breathing time. This helped me focus on the reflection without getting distracted too much by other stuff going on.,"I think I became more mindful of the overall screentime and social media app usage, and had a stronger desire to stay away from the screen.","There could be multiple themes or options to choose from, to allow some flexibility and make the prompts more engaging for the users. For example, there could be one prompt from each ""focus area"" (media usage, physical activity, social interaction etc.) and the user could decide the prompt as needed. Some reports or analytics showing improvements or changes over time could be useful and motivating","I liked how it regularly made me aware of what I am doing, and it helped me reflect on the activities. I loved the journal prompts at 9pm as they were not too specific nor broad that I could sufficiently elaborate on my thoughts. 

I feel like the thumbs up/down prompts can be improved a lot, since some of them were completely irrelevant and wrong. It was harder to see the point of doing the thumbs up/down part of the app.","Regular reports of my performance, more accurate thumbs up/down prompts, more diverse and fun journaling prompts",,15
3/17/24 21:39,3/17/24 21:42,180,3/17/24 21:42,t0018@sreflect,2,4,3,1,2,3,3,3,3,3,2,3,1,2,2,3,2,2,3,2,1,3,2,N/A,N/A,N/A,N/A,Slightly less artificial ,Prompting seemed like an unnecessary stress,N/A,N/A,34
3/28/24 15:25,4/1/24 17:46,354069,4/1/24 17:46,t0005@sreflect,4,1,4,1,4,1,5,3,4,2,3,2,3,4,4,4,3,4,5,3,1,2,3,"The prompts lead me to think about specific parts of the experiences of my day and how I might make changes , rather than just writing about what happened.",The prompts about reaching out to peers were helpful and wasn't something I would have thought of on my own.,I think I did purposefully get out walking more because it made me think about doing things for myself.,N/A,Maybe gathering more information on what the person finds helpful and enjoys.,I liked the check-in prompts and I appreciated that the journaling was short.,More customizability with the timing of the prompts - sometimes I would be asleep by 11pm.,,6
