uid,day,week_per_uid
t0003@sreflect,2024-02-02,1
t0003@sreflect,2024-02-03,1
t0003@sreflect,2024-02-04,1
t0003@sreflect,2024-02-05,1
t0003@sreflect,2024-02-06,1
t0003@sreflect,2024-02-07,1
t0003@sreflect,2024-02-08,2
t0003@sreflect,2024-02-09,2
t0003@sreflect,2024-02-10,2
t0003@sreflect,2024-02-11,2
t0003@sreflect,2024-02-12,2
t0003@sreflect,2024-02-13,2
t0003@sreflect,2024-02-14,2
t0003@sreflect,2024-02-15,3
t0003@sreflect,2024-02-16,3
t0003@sreflect,2024-02-17,3
t0003@sreflect,2024-02-18,3
t0003@sreflect,2024-02-19,3
t0003@sreflect,2024-02-20,3
t0003@sreflect,2024-02-21,3
t0003@sreflect,2024-02-22,4
t0003@sreflect,2024-02-23,4
t0003@sreflect,2024-02-24,4
t0003@sreflect,2024-02-25,4
t0003@sreflect,2024-02-26,4
t0003@sreflect,2024-02-27,4
t0003@sreflect,2024-02-28,4
t0003@sreflect,2024-02-29,5
t0003@sreflect,2024-03-01,5
t0003@sreflect,2024-03-02,5
t0003@sreflect,2024-03-03,5
t0003@sreflect,2024-03-04,5
t0003@sreflect,2024-03-05,5
t0003@sreflect,2024-03-06,5
t0003@sreflect,2024-03-07,6
t0003@sreflect,2024-03-08,6
t0003@sreflect,2024-03-09,6
t0003@sreflect,2024-03-10,6
t0003@sreflect,2024-03-11,6
t0003@sreflect,2024-03-12,6
t0003@sreflect,2024-03-13,6
t0003@sreflect,2024-03-14,7
t0003@sreflect,2024-03-15,7
t0003@sreflect,2024-03-16,7
t0003@sreflect,2024-03-17,7
t0003@sreflect,2024-03-18,7
t0003@sreflect,2024-03-19,7
t0003@sreflect,2024-03-20,7
t0003@sreflect,2024-03-21,8
t0003@sreflect,2024-03-22,8
t0003@sreflect,2024-03-23,8
t0003@sreflect,2024-03-24,8
t0003@sreflect,2024-03-25,8
t0003@sreflect,2024-03-26,8
t0003@sreflect,2024-03-27,8
t0003@sreflect,2024-03-28,9
t0003@sreflect,2024-03-29,9
t0003@sreflect,2024-03-30,9
t0003@sreflect,2024-03-31,9
t0003@sreflect,2024-04-01,9
t0003@sreflect,2024-04-02,9
t0004@sreflect,2024-02-01,1
t0004@sreflect,2024-02-02,1
t0004@sreflect,2024-02-03,1
t0004@sreflect,2024-02-04,1
t0004@sreflect,2024-02-05,1
t0004@sreflect,2024-02-06,1
t0004@sreflect,2024-02-07,1
t0004@sreflect,2024-02-08,2
t0004@sreflect,2024-02-09,2
t0004@sreflect,2024-02-10,2
t0004@sreflect,2024-02-11,2
t0004@sreflect,2024-02-12,2
t0004@sreflect,2024-02-13,2
t0004@sreflect,2024-02-14,2
t0004@sreflect,2024-02-15,3
t0004@sreflect,2024-02-16,3
t0004@sreflect,2024-02-17,3
t0004@sreflect,2024-02-18,3
t0004@sreflect,2024-02-19,3
t0004@sreflect,2024-02-20,3
t0004@sreflect,2024-02-21,3
t0004@sreflect,2024-02-22,4
t0004@sreflect,2024-02-23,4
t0004@sreflect,2024-02-24,4
t0004@sreflect,2024-02-25,4
t0004@sreflect,2024-02-26,4
t0004@sreflect,2024-02-27,4
t0004@sreflect,2024-02-28,4
t0004@sreflect,2024-02-29,5
t0004@sreflect,2024-03-01,5
t0004@sreflect,2024-03-02,5
t0004@sreflect,2024-03-03,5
t0004@sreflect,2024-03-04,5
t0004@sreflect,2024-03-05,5
t0004@sreflect,2024-03-06,5
t0004@sreflect,2024-03-10,6
t0004@sreflect,2024-03-11,6
t0004@sreflect,2024-03-12,6
t0004@sreflect,2024-03-13,6
t0004@sreflect,2024-03-14,7
t0004@sreflect,2024-03-15,7
t0004@sreflect,2024-03-16,7
t0004@sreflect,2024-03-17,7
t0004@sreflect,2024-03-18,7
t0004@sreflect,2024-03-19,7
t0004@sreflect,2024-03-20,7
t0004@sreflect,2024-03-21,8
t0004@sreflect,2024-03-22,8
t0004@sreflect,2024-03-23,8
t0004@sreflect,2024-03-24,8
t0004@sreflect,2024-03-25,8
t0005@sreflect,2024-02-02,1
t0005@sreflect,2024-02-03,1
t0005@sreflect,2024-02-04,1
t0005@sreflect,2024-02-05,1
t0005@sreflect,2024-02-06,1
t0005@sreflect,2024-02-07,1
t0005@sreflect,2024-02-08,1
t0005@sreflect,2024-02-09,2
t0005@sreflect,2024-02-10,2
t0005@sreflect,2024-02-11,2
t0005@sreflect,2024-02-12,2
t0005@sreflect,2024-02-13,2
t0005@sreflect,2024-02-14,2
t0005@sreflect,2024-02-15,2
t0005@sreflect,2024-02-16,3
t0005@sreflect,2024-02-17,3
t0005@sreflect,2024-02-18,3
t0005@sreflect,2024-02-19,3
t0005@sreflect,2024-02-20,3
t0005@sreflect,2024-02-21,3
t0005@sreflect,2024-02-22,3
t0005@sreflect,2024-02-23,4
t0005@sreflect,2024-02-24,4
t0005@sreflect,2024-02-25,4
t0005@sreflect,2024-02-26,4
t0005@sreflect,2024-02-27,4
t0005@sreflect,2024-02-28,4
t0005@sreflect,2024-02-29,4
t0005@sreflect,2024-03-01,5
t0005@sreflect,2024-03-02,5
t0005@sreflect,2024-03-03,5
t0005@sreflect,2024-03-04,5
t0005@sreflect,2024-03-05,5
t0005@sreflect,2024-03-06,5
t0005@sreflect,2024-03-07,5
t0005@sreflect,2024-03-08,6
t0005@sreflect,2024-03-09,6
t0005@sreflect,2024-03-10,6
t0005@sreflect,2024-03-11,6
t0005@sreflect,2024-03-12,6
t0005@sreflect,2024-03-13,6
t0005@sreflect,2024-03-14,6
t0005@sreflect,2024-03-15,7
t0005@sreflect,2024-03-16,7
t0005@sreflect,2024-03-17,7
t0005@sreflect,2024-03-18,7
t0005@sreflect,2024-03-19,7
t0005@sreflect,2024-03-20,7
t0005@sreflect,2024-03-21,7
t0005@sreflect,2024-03-22,8
t0005@sreflect,2024-03-23,8
t0005@sreflect,2024-03-24,8
t0005@sreflect,2024-03-25,8
t0005@sreflect,2024-03-26,8
t0005@sreflect,2024-03-27,8
t0005@sreflect,2024-03-28,8
t0005@sreflect,2024-03-29,9
t0005@sreflect,2024-03-30,9
t0005@sreflect,2024-03-31,9
t0005@sreflect,2024-04-01,9
t0005@sreflect,2024-04-02,9
t0005@sreflect,2024-04-03,9
t0005@sreflect,2024-04-04,9
t0005@sreflect,2024-04-05,10
t0005@sreflect,2024-04-06,10
t0005@sreflect,2024-04-07,10
t0005@sreflect,2024-04-08,10
t0005@sreflect,2024-04-09,10
t0005@sreflect,2024-04-10,10
t0005@sreflect,2024-04-11,10
t0005@sreflect,2024-04-12,11
t0005@sreflect,2024-04-13,11
t0005@sreflect,2024-04-14,11
t0005@sreflect,2024-04-15,11
t0005@sreflect,2024-04-16,11
t0005@sreflect,2024-04-17,11
t0005@sreflect,2024-04-18,11
t0005@sreflect,2024-04-19,12
t0005@sreflect,2024-04-20,12
t0005@sreflect,2024-04-21,12
t0005@sreflect,2024-04-22,12
t0005@sreflect,2024-04-23,12
t0005@sreflect,2024-04-24,12
t0005@sreflect,2024-04-25,12
t0005@sreflect,2024-04-26,13
t0005@sreflect,2024-04-27,13
t0005@sreflect,2024-04-28,13
t0005@sreflect,2024-04-29,13
t0005@sreflect,2024-04-30,13
t0006@sreflect,2024-02-02,1
t0006@sreflect,2024-02-03,1
t0006@sreflect,2024-02-04,1
t0006@sreflect,2024-02-05,1
t0006@sreflect,2024-02-06,1
t0006@sreflect,2024-02-07,1
t0006@sreflect,2024-02-08,1
t0006@sreflect,2024-02-09,2
t0006@sreflect,2024-02-10,2
t0006@sreflect,2024-02-11,2
t0006@sreflect,2024-02-12,2
t0006@sreflect,2024-02-13,2
t0006@sreflect,2024-02-14,2
t0006@sreflect,2024-02-15,2
t0006@sreflect,2024-02-16,3
t0006@sreflect,2024-02-17,3
t0006@sreflect,2024-02-18,3
t0006@sreflect,2024-02-19,3
t0006@sreflect,2024-02-20,3
t0006@sreflect,2024-02-21,3
t0006@sreflect,2024-02-22,3
t0006@sreflect,2024-02-23,4
t0006@sreflect,2024-02-24,4
t0006@sreflect,2024-02-25,4
t0006@sreflect,2024-02-26,4
t0006@sreflect,2024-02-27,4
t0006@sreflect,2024-02-28,4
t0006@sreflect,2024-02-29,4
t0006@sreflect,2024-03-01,5
t0006@sreflect,2024-03-02,5
t0006@sreflect,2024-03-03,5
t0006@sreflect,2024-03-04,5
t0006@sreflect,2024-03-05,5
t0006@sreflect,2024-03-06,5
t0006@sreflect,2024-03-07,5
t0006@sreflect,2024-03-08,6
t0006@sreflect,2024-03-09,6
t0006@sreflect,2024-03-10,6
t0006@sreflect,2024-03-11,6
t0006@sreflect,2024-03-12,6
t0006@sreflect,2024-03-13,6
t0006@sreflect,2024-03-14,6
t0006@sreflect,2024-03-15,7
t0006@sreflect,2024-03-16,7
t0006@sreflect,2024-03-17,7
t0006@sreflect,2024-03-18,7
t0006@sreflect,2024-03-19,7
t0006@sreflect,2024-03-20,7
t0006@sreflect,2024-03-21,7
t0006@sreflect,2024-03-22,8
t0006@sreflect,2024-03-23,8
t0006@sreflect,2024-03-24,8
t0006@sreflect,2024-03-25,8
t0007@sreflect,2024-02-02,1
t0007@sreflect,2024-02-03,1
t0007@sreflect,2024-02-04,1
t0007@sreflect,2024-02-05,1
t0007@sreflect,2024-02-06,1
t0007@sreflect,2024-02-07,1
t0007@sreflect,2024-02-08,1
t0007@sreflect,2024-02-09,2
t0007@sreflect,2024-02-10,2
t0007@sreflect,2024-02-11,2
t0007@sreflect,2024-02-12,2
t0007@sreflect,2024-02-13,2
t0007@sreflect,2024-02-14,2
t0007@sreflect,2024-02-15,2
t0007@sreflect,2024-02-16,3
t0007@sreflect,2024-02-17,3
t0007@sreflect,2024-02-18,3
t0007@sreflect,2024-02-19,3
t0007@sreflect,2024-02-20,3
t0007@sreflect,2024-02-21,3
t0007@sreflect,2024-02-22,3
t0007@sreflect,2024-02-23,4
t0007@sreflect,2024-02-24,4
t0007@sreflect,2024-02-25,4
t0007@sreflect,2024-02-26,4
t0007@sreflect,2024-02-27,4
t0007@sreflect,2024-02-28,4
t0007@sreflect,2024-02-29,4
t0007@sreflect,2024-03-01,5
t0007@sreflect,2024-03-02,5
t0007@sreflect,2024-03-03,5
t0007@sreflect,2024-03-04,5
t0007@sreflect,2024-03-05,5
t0007@sreflect,2024-03-06,5
t0007@sreflect,2024-03-07,5
t0007@sreflect,2024-03-08,6
t0007@sreflect,2024-03-09,6
t0007@sreflect,2024-03-10,6
t0007@sreflect,2024-03-11,6
t0007@sreflect,2024-03-12,6
t0007@sreflect,2024-03-13,6
t0007@sreflect,2024-03-14,6
t0007@sreflect,2024-03-15,7
t0007@sreflect,2024-03-16,7
t0007@sreflect,2024-03-17,7
t0007@sreflect,2024-03-18,7
t0007@sreflect,2024-03-19,7
t0007@sreflect,2024-03-20,7
t0007@sreflect,2024-03-21,7
t0007@sreflect,2024-03-22,8
t0007@sreflect,2024-03-23,8
t0007@sreflect,2024-03-24,8
t0007@sreflect,2024-03-27,8
t0007@sreflect,2024-03-28,8
t0008@sreflect,2024-02-06,1
t0008@sreflect,2024-02-07,1
t0008@sreflect,2024-02-08,1
t0008@sreflect,2024-02-09,1
t0008@sreflect,2024-02-10,1
t0008@sreflect,2024-02-11,1
t0008@sreflect,2024-02-12,1
t0008@sreflect,2024-02-13,2
t0008@sreflect,2024-02-14,2
t0008@sreflect,2024-02-15,2
t0008@sreflect,2024-02-16,2
t0008@sreflect,2024-02-17,2
t0008@sreflect,2024-02-18,2
t0008@sreflect,2024-02-19,2
t0008@sreflect,2024-02-20,3
t0008@sreflect,2024-02-21,3
t0008@sreflect,2024-02-22,3
t0008@sreflect,2024-02-23,3
t0008@sreflect,2024-02-24,3
t0008@sreflect,2024-02-25,3
t0008@sreflect,2024-02-26,3
t0008@sreflect,2024-02-27,4
t0008@sreflect,2024-02-28,4
t0008@sreflect,2024-02-29,4
t0008@sreflect,2024-03-01,4
t0008@sreflect,2024-03-02,4
t0008@sreflect,2024-03-03,4
t0008@sreflect,2024-03-04,4
t0008@sreflect,2024-03-05,5
t0008@sreflect,2024-03-06,5
t0008@sreflect,2024-03-07,5
t0008@sreflect,2024-03-08,5
t0008@sreflect,2024-03-09,5
t0008@sreflect,2024-03-10,5
t0008@sreflect,2024-03-11,5
t0008@sreflect,2024-03-12,6
t0008@sreflect,2024-03-13,6
t0008@sreflect,2024-03-14,6
t0008@sreflect,2024-03-15,6
t0008@sreflect,2024-03-16,6
t0008@sreflect,2024-03-17,6
t0008@sreflect,2024-03-18,6
t0008@sreflect,2024-03-19,7
t0008@sreflect,2024-03-20,7
t0008@sreflect,2024-03-21,7
t0008@sreflect,2024-03-22,7
t0008@sreflect,2024-03-23,7
t0008@sreflect,2024-03-24,7
t0008@sreflect,2024-03-25,7
t0008@sreflect,2024-03-26,8
t0008@sreflect,2024-03-27,8
t0008@sreflect,2024-03-28,8
t0008@sreflect,2024-03-29,8
t0009@sreflect,2024-02-06,1
t0009@sreflect,2024-02-07,1
t0009@sreflect,2024-02-08,1
t0009@sreflect,2024-02-09,1
t0009@sreflect,2024-02-10,1
t0009@sreflect,2024-02-11,1
t0009@sreflect,2024-02-12,1
t0009@sreflect,2024-02-13,2
t0009@sreflect,2024-02-14,2
t0009@sreflect,2024-02-15,2
t0009@sreflect,2024-02-16,2
t0009@sreflect,2024-02-17,2
t0009@sreflect,2024-02-18,2
t0009@sreflect,2024-02-19,2
t0009@sreflect,2024-02-20,3
t0009@sreflect,2024-02-21,3
t0009@sreflect,2024-02-22,3
t0009@sreflect,2024-02-23,3
t0009@sreflect,2024-02-24,3
t0009@sreflect,2024-02-25,3
t0009@sreflect,2024-02-26,3
t0009@sreflect,2024-02-27,4
t0009@sreflect,2024-02-28,4
t0009@sreflect,2024-02-29,4
t0009@sreflect,2024-03-01,4
t0009@sreflect,2024-03-02,4
t0009@sreflect,2024-03-03,4
t0009@sreflect,2024-03-04,4
t0009@sreflect,2024-03-05,5
t0009@sreflect,2024-03-06,5
t0009@sreflect,2024-03-07,5
t0009@sreflect,2024-03-08,5
t0009@sreflect,2024-03-09,5
t0009@sreflect,2024-03-10,5
t0009@sreflect,2024-03-11,5
t0009@sreflect,2024-03-12,6
t0009@sreflect,2024-03-13,6
t0009@sreflect,2024-03-14,6
t0009@sreflect,2024-03-15,6
t0009@sreflect,2024-03-16,6
t0009@sreflect,2024-03-17,6
t0009@sreflect,2024-03-18,6
t0009@sreflect,2024-03-19,7
t0009@sreflect,2024-03-20,7
t0009@sreflect,2024-03-21,7
t0009@sreflect,2024-03-22,7
t0009@sreflect,2024-03-23,7
t0009@sreflect,2024-03-24,7
t0009@sreflect,2024-03-25,7
t0009@sreflect,2024-03-26,8
t0009@sreflect,2024-03-27,8
t0009@sreflect,2024-03-28,8
t0009@sreflect,2024-03-29,8
t0009@sreflect,2024-03-30,8
t0009@sreflect,2024-03-31,8
t0009@sreflect,2024-04-01,8
t0009@sreflect,2024-04-02,9
t0009@sreflect,2024-04-03,9
t0009@sreflect,2024-04-04,9
t0009@sreflect,2024-04-05,9
t0009@sreflect,2024-04-06,9
t0009@sreflect,2024-04-07,9
t0009@sreflect,2024-04-08,9
t0009@sreflect,2024-04-09,10
t0009@sreflect,2024-04-10,10
t0009@sreflect,2024-04-11,10
t0009@sreflect,2024-04-12,10
t0009@sreflect,2024-04-13,10
t0009@sreflect,2024-04-14,10
t0009@sreflect,2024-04-15,10
t0009@sreflect,2024-04-16,11
t0009@sreflect,2024-04-17,11
t0009@sreflect,2024-04-18,11
t0010@sreflect,2024-02-06,1
t0010@sreflect,2024-02-07,1
t0010@sreflect,2024-02-08,1
t0010@sreflect,2024-02-09,1
t0010@sreflect,2024-02-10,1
t0010@sreflect,2024-02-11,1
t0010@sreflect,2024-02-12,1
t0010@sreflect,2024-02-13,2
t0010@sreflect,2024-02-14,2
t0010@sreflect,2024-02-15,2
t0010@sreflect,2024-02-16,2
t0010@sreflect,2024-02-17,2
t0010@sreflect,2024-02-18,2
t0010@sreflect,2024-02-19,2
t0010@sreflect,2024-02-20,3
t0010@sreflect,2024-02-21,3
t0010@sreflect,2024-02-22,3
t0010@sreflect,2024-02-23,3
t0010@sreflect,2024-02-24,3
t0010@sreflect,2024-02-25,3
t0010@sreflect,2024-02-26,3
t0010@sreflect,2024-02-27,4
t0010@sreflect,2024-02-28,4
t0010@sreflect,2024-02-29,4
t0010@sreflect,2024-03-01,4
t0010@sreflect,2024-03-02,4
t0010@sreflect,2024-03-03,4
t0010@sreflect,2024-03-04,4
t0010@sreflect,2024-03-05,5
t0010@sreflect,2024-03-06,5
t0010@sreflect,2024-03-07,5
t0010@sreflect,2024-03-08,5
t0010@sreflect,2024-03-09,5
t0010@sreflect,2024-03-10,5
t0010@sreflect,2024-03-11,5
t0010@sreflect,2024-03-12,6
t0010@sreflect,2024-03-13,6
t0010@sreflect,2024-03-14,6
t0010@sreflect,2024-03-15,6
t0010@sreflect,2024-03-16,6
t0010@sreflect,2024-03-17,6
t0010@sreflect,2024-03-18,6
t0010@sreflect,2024-03-19,7
t0010@sreflect,2024-03-20,7
t0010@sreflect,2024-03-21,7
t0010@sreflect,2024-03-22,7
t0010@sreflect,2024-03-23,7
t0010@sreflect,2024-03-24,7
t0010@sreflect,2024-03-25,7
t0011@sreflect,2024-02-06,1
t0011@sreflect,2024-02-07,1
t0011@sreflect,2024-02-08,1
t0011@sreflect,2024-02-09,1
t0011@sreflect,2024-02-10,1
t0011@sreflect,2024-02-11,1
t0011@sreflect,2024-02-12,1
t0011@sreflect,2024-02-13,2
t0011@sreflect,2024-02-14,2
t0011@sreflect,2024-02-15,2
t0011@sreflect,2024-02-16,2
t0011@sreflect,2024-02-17,2
t0011@sreflect,2024-02-18,2
t0011@sreflect,2024-02-19,2
t0011@sreflect,2024-02-20,3
t0011@sreflect,2024-02-21,3
t0011@sreflect,2024-02-22,3
t0011@sreflect,2024-02-23,3
t0011@sreflect,2024-02-24,3
t0011@sreflect,2024-02-25,3
t0011@sreflect,2024-02-26,3
t0011@sreflect,2024-02-27,4
t0011@sreflect,2024-02-28,4
t0011@sreflect,2024-02-29,4
t0011@sreflect,2024-03-01,4
t0011@sreflect,2024-03-02,4
t0011@sreflect,2024-03-03,4
t0011@sreflect,2024-03-04,4
t0011@sreflect,2024-03-05,5
t0011@sreflect,2024-03-06,5
t0011@sreflect,2024-03-07,5
t0011@sreflect,2024-03-08,5
t0011@sreflect,2024-03-09,5
t0011@sreflect,2024-03-10,5
t0011@sreflect,2024-03-11,5
t0011@sreflect,2024-03-12,6
t0011@sreflect,2024-03-13,6
t0011@sreflect,2024-03-14,6
t0011@sreflect,2024-03-15,6
t0011@sreflect,2024-03-16,6
t0011@sreflect,2024-03-17,6
t0011@sreflect,2024-03-18,6
t0011@sreflect,2024-03-19,7
t0011@sreflect,2024-03-20,7
t0011@sreflect,2024-03-21,7
t0011@sreflect,2024-03-22,7
t0011@sreflect,2024-03-23,7
t0011@sreflect,2024-03-24,7
t0011@sreflect,2024-03-25,7
t0012@sreflect,2024-02-06,1
t0012@sreflect,2024-02-07,1
t0012@sreflect,2024-02-08,1
t0012@sreflect,2024-02-09,1
t0012@sreflect,2024-02-10,1
t0012@sreflect,2024-02-11,1
t0012@sreflect,2024-02-12,1
t0012@sreflect,2024-02-13,2
t0012@sreflect,2024-02-14,2
t0012@sreflect,2024-02-15,2
t0012@sreflect,2024-02-16,2
t0012@sreflect,2024-02-17,2
t0012@sreflect,2024-02-18,2
t0012@sreflect,2024-02-19,2
t0012@sreflect,2024-02-20,3
t0012@sreflect,2024-02-21,3
t0012@sreflect,2024-02-22,3
t0012@sreflect,2024-02-23,3
t0012@sreflect,2024-02-24,3
t0012@sreflect,2024-02-25,3
t0012@sreflect,2024-02-26,3
t0012@sreflect,2024-02-27,4
t0012@sreflect,2024-02-28,4
t0012@sreflect,2024-02-29,4
t0012@sreflect,2024-03-01,4
t0012@sreflect,2024-03-02,4
t0012@sreflect,2024-03-03,4
t0012@sreflect,2024-03-04,4
t0012@sreflect,2024-03-05,5
t0012@sreflect,2024-03-06,5
t0012@sreflect,2024-03-07,5
t0012@sreflect,2024-03-08,5
t0012@sreflect,2024-03-09,5
t0012@sreflect,2024-03-10,5
t0012@sreflect,2024-03-11,5
t0012@sreflect,2024-03-12,6
t0012@sreflect,2024-03-13,6
t0012@sreflect,2024-03-14,6
t0012@sreflect,2024-03-15,6
t0012@sreflect,2024-03-16,6
t0012@sreflect,2024-03-17,6
t0012@sreflect,2024-03-18,6
t0012@sreflect,2024-03-19,7
t0012@sreflect,2024-03-20,7
t0012@sreflect,2024-03-21,7
t0012@sreflect,2024-03-22,7
t0012@sreflect,2024-03-23,7
t0012@sreflect,2024-03-24,7
t0012@sreflect,2024-03-25,7
t0012@sreflect,2024-03-26,8
t0012@sreflect,2024-03-27,8
t0012@sreflect,2024-03-28,8
t0012@sreflect,2024-03-29,8
t0012@sreflect,2024-03-30,8
t0012@sreflect,2024-03-31,8
t0012@sreflect,2024-04-01,8
t0012@sreflect,2024-04-02,9
t0012@sreflect,2024-04-03,9
t0012@sreflect,2024-04-04,9
t0012@sreflect,2024-04-05,9
t0012@sreflect,2024-04-06,9
t0012@sreflect,2024-04-07,9
t0012@sreflect,2024-04-08,9
t0012@sreflect,2024-04-09,10
t0012@sreflect,2024-04-10,10
t0012@sreflect,2024-04-11,10
t0012@sreflect,2024-04-12,10
t0012@sreflect,2024-04-13,10
t0012@sreflect,2024-04-14,10
t0012@sreflect,2024-04-15,10
t0012@sreflect,2024-04-16,11
t0012@sreflect,2024-04-17,11
t0012@sreflect,2024-04-18,11
t0012@sreflect,2024-04-19,11
t0012@sreflect,2024-04-20,11
t0013@sreflect,2024-02-06,1
t0013@sreflect,2024-02-07,1
t0013@sreflect,2024-02-08,1
t0013@sreflect,2024-02-09,1
t0013@sreflect,2024-02-10,1
t0013@sreflect,2024-02-11,1
t0013@sreflect,2024-02-12,1
t0013@sreflect,2024-02-13,2
t0013@sreflect,2024-02-14,2
t0013@sreflect,2024-02-15,2
t0013@sreflect,2024-02-16,2
t0013@sreflect,2024-02-17,2
t0013@sreflect,2024-02-18,2
t0013@sreflect,2024-02-19,2
t0013@sreflect,2024-02-20,3
t0013@sreflect,2024-02-21,3
t0013@sreflect,2024-02-22,3
t0013@sreflect,2024-02-23,3
t0013@sreflect,2024-02-24,3
t0013@sreflect,2024-02-25,3
t0013@sreflect,2024-02-26,3
t0013@sreflect,2024-02-27,4
t0013@sreflect,2024-02-28,4
t0013@sreflect,2024-02-29,4
t0013@sreflect,2024-03-01,4
t0013@sreflect,2024-03-02,4
t0013@sreflect,2024-03-03,4
t0013@sreflect,2024-03-04,4
t0013@sreflect,2024-03-05,5
t0013@sreflect,2024-03-06,5
t0013@sreflect,2024-03-07,5
t0013@sreflect,2024-03-08,5
t0013@sreflect,2024-03-09,5
t0013@sreflect,2024-03-10,5
t0013@sreflect,2024-03-11,5
t0013@sreflect,2024-03-12,6
t0013@sreflect,2024-03-13,6
t0013@sreflect,2024-03-14,6
t0013@sreflect,2024-03-15,6
t0013@sreflect,2024-03-16,6
t0013@sreflect,2024-03-17,6
t0013@sreflect,2024-03-18,6
t0013@sreflect,2024-03-19,7
t0013@sreflect,2024-03-20,7
t0013@sreflect,2024-03-21,7
t0013@sreflect,2024-03-22,7
t0013@sreflect,2024-03-23,7
t0013@sreflect,2024-03-24,7
t0013@sreflect,2024-03-25,7
t0013@sreflect,2024-03-26,8
t0013@sreflect,2024-03-27,8
t0013@sreflect,2024-03-28,8
t0013@sreflect,2024-03-29,8
t0013@sreflect,2024-03-30,8
t0013@sreflect,2024-03-31,8
t0013@sreflect,2024-04-01,8
t0014@sreflect,2024-02-07,1
t0014@sreflect,2024-02-08,1
t0014@sreflect,2024-02-13,1
t0014@sreflect,2024-02-14,2
t0014@sreflect,2024-02-15,2
t0014@sreflect,2024-02-16,2
t0014@sreflect,2024-02-17,2
t0014@sreflect,2024-02-18,2
t0014@sreflect,2024-02-19,2
t0014@sreflect,2024-02-20,2
t0014@sreflect,2024-02-21,3
t0014@sreflect,2024-02-22,3
t0014@sreflect,2024-02-23,3
t0014@sreflect,2024-02-24,3
t0014@sreflect,2024-02-25,3
t0014@sreflect,2024-02-26,3
t0014@sreflect,2024-02-27,3
t0014@sreflect,2024-02-28,4
t0014@sreflect,2024-02-29,4
t0014@sreflect,2024-03-01,4
t0014@sreflect,2024-03-02,4
t0014@sreflect,2024-03-03,4
t0014@sreflect,2024-03-04,4
t0014@sreflect,2024-03-05,4
t0014@sreflect,2024-03-06,5
t0014@sreflect,2024-03-07,5
t0014@sreflect,2024-03-08,5
t0014@sreflect,2024-03-09,5
t0014@sreflect,2024-03-10,5
t0014@sreflect,2024-03-11,5
t0014@sreflect,2024-03-12,5
t0014@sreflect,2024-03-13,6
t0014@sreflect,2024-03-14,6
t0014@sreflect,2024-03-15,6
t0014@sreflect,2024-03-16,6
t0014@sreflect,2024-03-17,6
t0014@sreflect,2024-03-18,6
t0014@sreflect,2024-03-19,6
t0014@sreflect,2024-03-20,7
t0014@sreflect,2024-03-21,7
t0014@sreflect,2024-03-22,7
t0014@sreflect,2024-03-23,7
t0014@sreflect,2024-03-24,7
t0014@sreflect,2024-03-25,7
t0015@sreflect,2024-02-08,1
t0015@sreflect,2024-02-09,1
t0015@sreflect,2024-02-10,1
t0015@sreflect,2024-02-13,1
t0015@sreflect,2024-02-14,1
t0015@sreflect,2024-02-15,2
t0015@sreflect,2024-02-16,2
t0015@sreflect,2024-02-17,2
t0015@sreflect,2024-02-18,2
t0015@sreflect,2024-02-19,2
t0015@sreflect,2024-02-20,2
t0015@sreflect,2024-02-21,2
t0015@sreflect,2024-02-22,3
