,data,day,uid
30,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1705024868.955;1705024872.283"",""__user_triggered__"":""false""}",2024-01-11 16:01:12.282,t0001@sreflect
31,"{""Q1"":""5"",""__name__"":""daily_weekday"",""RespTime_0"":""1705025279.217;1705025280.032"",""__user_triggered__"":""true""}",2024-01-11 16:08:00.032,test4@sreflect
32,"{""Q1"":""2"",""__name__"":""daily_weekday"",""RespTime_0"":""1705029213.453;1705029216.208"",""__user_triggered__"":""true""}",2024-01-11 17:13:36.207,test2@sreflect
33,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1705182352.291;1705182355.349"",""__user_triggered__"":""true""}",2024-01-13 11:45:55.348,t0001@sreflect
34,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1705182547.853;1705182550.424"",""__user_triggered__"":""true""}",2024-01-13 11:49:10.424,t0001@sreflect
35,"{""Q1"":""5"",""__name__"":""daily_weekday"",""RespTime_0"":""1705187240.437;1705187241.029"",""__user_triggered__"":""true""}",2024-01-13 13:07:21.029,test4@sreflect
36,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1705197434.527;1705197436.287"",""__user_triggered__"":""true""}",2024-01-13 15:57:16.286,t0001@sreflect
37,"{""Q1"":""2"",""__name__"":""daily_weekday"",""RespTime_0"":""1705197612.119;1705197613.774"",""__user_triggered__"":""false""}",2024-01-13 16:00:13.775,t0001@sreflect
38,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1705213859.424;1705213860.524"",""__user_triggered__"":""true""}",2024-01-13 20:31:00.523,test4@sreflect
39,"{""Q2"":""👍"",""__name__"":""weekday_nudge"",""RespTime_0"":""1705261904.380;1705261913.163"",""__user_triggered__"":""false""}",2024-01-14 09:51:53.165,t0001@sreflect
40,"{""Q2"":""👍"",""__name__"":""weekday_nudge"",""RespTime_0"":""1705262587.324;1705262596.850"",""__user_triggered__"":""false""}",2024-01-14 10:03:16.851,t0001@sreflect
41,"{""Q2"":""👍"",""__name__"":""weekday_nudge"",""RespTime_0"":""1705262780.589;1705262786.500"",""__user_triggered__"":""false""}",2024-01-14 10:06:26.500,t0001@sreflect
42,"{""Q2"":""👍"",""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1705252432.329;1705252436.285"",""__user_triggered__"":""false""}",2024-01-14 07:13:56.286,t0001@sreflect
43,"{""Q2"":""👍"",""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1705252876.959;1705252881.161"",""__user_triggered__"":""false""}",2024-01-14 07:21:21.161,t0001@sreflect
44,"{""Q2: Caught up in some good conversations this morning? 🗣️👥"":""👍"",""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1705253588.884;1705253596.664"",""__user_triggered__"":""false""}",2024-01-14 07:33:16.664,t0001@sreflect
45,"{""Q3: Hope your focus was sharp during study time today!"":""👍"",""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1705266609.710;1705266615.712"",""__user_triggered__"":""false""}",2024-01-14 11:10:15.713,t0001@sreflect
46,"{""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1705266913.221;1705266940.841"",""Q2: Hope your focus was sharp during study time today!"":""👍"",""__user_triggered__"":""true""}",2024-01-14 11:15:40.842,t0001@sreflect
47,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1705267003.191;1705267005.219"",""__user_triggered__"":""true""}",2024-01-14 11:16:45.219,t0001@sreflect
48,"{""Q3: Hope your focus was sharp during study time today!"":""👎"",""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1705267816.119;1705267834.419"",""__user_triggered__"":""false""}",2024-01-14 11:30:34.420,t0001@sreflect
49,"{""Q1"":""5"",""__name__"":""daily_weekday"",""RespTime_0"":""1705284031.819;1705284035.872"",""__user_triggered__"":""false""}",2024-01-14 16:00:35.871,t0001@sreflect
50,"{""RespTime_24"":""1705345054.322;1705345055.434"",""RespTime_25"":""1705345055.435;1705345061.968"",""RespTime_20"":""1705345048.135;1705345049.308"",""RespTime_21"":""1705345049.309;1705345050.622"",""RespTime_22"":""1705345050.623;1705345052.489"",""RespTime_23"":""1705345052.493;1705345054.322"",""PANAS-5"":""6.0"",""PANAS-4"":""6.0"",""PANAS-3"":""6.0"",""PANAS-2"":""6.0"",""PANAS-1"":""7.0"",""SRIS-12"":""Strongly disagree"",""SRIS-11"":""6.0"",""PANAS-10"":""6.0"",""PANAS-9"":""6.0"",""PANAS-8"":""6.0"",""PANAS-7"":""6.0"",""SRIS-10"":""6.0"",""PANAS-6"":""6.0"",""RespTime_13"":""1705345015.633;1705345017.134"",""RespTime_14"":""1705345017.136;1705345035.736"",""RespTime_15"":""1705345035.737;1705345037.908"",""RespTime_16"":""1705345037.909;1705345043.647"",""RespTime_10"":""1705345011.749;1705345013.054"",""RespTime_11"":""1705345013.054;1705345014.327"",""RespTime_12"":""1705345014.328;1705345015.632"",""RespTime_17"":""1705345043.647;1705345045.596"",""RespTime_18"":""1705345045.597;1705345046.945"",""RespTime_19"":""1705345046.946;1705345048.134"",""__name__"":""weekly_ema"",""PHQ4-1"":""Not at all"",""SRIS-1"":""5.0"",""SRIS-2"":""6.0"",""SRIS-3"":""5.0"",""RespTime_2"":""1705344995.002;1705344995.642"",""RespTime_3"":""1705344995.642;1705344996.401"",""RespTime_4"":""1705344996.402;1705345003.448"",""RespTime_5"":""1705345003.450;1705345005.769"",""RespTime_6"":""1705345005.770;1705345007.393"",""RespTime_7"":""1705345007.393;1705345008.834"",""RespTime_8"":""1705345008.834;1705345010.368"",""RespTime_9"":""1705345010.369;1705345011.748"",""RespTime_0"":""1705344990.829;1705344994.252"",""RespTime_1"":""1705344994.252;1705344995.002"",""SRIS-4"":""6.0"",""SRIS-5"":""6.0"",""SRIS-6"":""6.0"",""SRIS-7"":""6.0"",""SRIS-8"":""6.0"",""__user_triggered__"":""true"",""PHQ4-4"":""Not at all"",""SRIS-9"":""6.0"",""PHQ4-3"":""Not at all"",""PHQ4-2"":""Not at all""}",2024-01-15 08:57:41.967,t0001@sreflect
51,"{""RespTime_24"":""1705345089.293;1705345090.132"",""RespTime_25"":""1705345090.132;1705345091.534"",""RespTime_20"":""1705345085.972;1705345086.774"",""RespTime_21"":""1705345086.775;1705345087.594"",""RespTime_22"":""1705345087.595;1705345088.452"",""RespTime_23"":""1705345088.452;1705345089.293"",""PANAS-5"":""5.0"",""PANAS-4"":""6.0"",""PANAS-3"":""6.0"",""PANAS-2"":""5.0"",""PANAS-1"":""5.0"",""SRIS-12"":""Strongly agree"",""SRIS-11"":""5.0"",""PANAS-10"":""6.0"",""PANAS-9"":""6.0"",""PANAS-8"":""5.0"",""PANAS-7"":""6.0"",""SRIS-10"":""5.0"",""PANAS-6"":""5.0"",""RespTime_13"":""1705345080.265;1705345081.121"",""RespTime_14"":""1705345081.122;1705345081.924"",""RespTime_15"":""1705345081.925;1705345082.742"",""RespTime_16"":""1705345082.743;1705345083.556"",""RespTime_10"":""1705345077.741;1705345078.563"",""RespTime_11"":""1705345078.564;1705345079.414"",""RespTime_12"":""1705345079.414;1705345080.265"",""RespTime_17"":""1705345083.556;1705345084.390"",""RespTime_18"":""1705345084.391;1705345085.164"",""RespTime_19"":""1705345085.164;1705345085.971"",""__name__"":""weekly_ema"",""PHQ4-1"":""Several days"",""SRIS-1"":""6.0"",""SRIS-2"":""5.0"",""SRIS-3"":""5.0"",""RespTime_2"":""1705345071.529;1705345072.090"",""RespTime_3"":""1705345072.091;1705345072.658"",""RespTime_4"":""1705345072.659;1705345073.698"",""RespTime_5"":""1705345073.699;1705345074.454"",""RespTime_6"":""1705345074.454;1705345075.174"",""RespTime_7"":""1705345075.174;1705345075.996"",""RespTime_8"":""1705345075.997;1705345076.904"",""RespTime_9"":""1705345076.904;1705345077.741"",""RespTime_0"":""1705345069.865;1705345070.813"",""RespTime_1"":""1705345070.814;1705345071.528"",""SRIS-4"":""5.0"",""SRIS-5"":""5.0"",""SRIS-6"":""5.0"",""SRIS-7"":""5.0"",""SRIS-8"":""5.0"",""__user_triggered__"":""true"",""PHQ4-4"":""Not at all"",""SRIS-9"":""5.0"",""PHQ4-3"":""Several days"",""PHQ4-2"":""Not at all""}",2024-01-15 08:58:11.535,t0001@sreflect
52,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1705345093.295;1705345094.387"",""__user_triggered__"":""true""}",2024-01-15 08:58:14.387,t0001@sreflect
53,"{""RespTime_24"":""1705345238.322;1705345241.486"",""RespTime_25"":""1705345241.486;1705345245.679"",""RespTime_20"":""1705345223.657;1705345227.108"",""RespTime_21"":""1705345227.109;1705345232.836"",""RespTime_22"":""1705345232.836;1705345234.786"",""RespTime_23"":""1705345234.786;1705345238.322"",""PANAS-5"":""6.0"",""PANAS-4"":""6.0"",""PANAS-3"":""6.0"",""PANAS-2"":""5.0"",""PANAS-1"":""5.0"",""SRIS-12"":""Strongly agree"",""SRIS-11"":""5.0"",""PANAS-10"":""6.0"",""PANAS-9"":""6.0"",""PANAS-8"":""6.0"",""PANAS-7"":""6.0"",""SRIS-10"":""5.0"",""PANAS-6"":""6.0"",""RespTime_13"":""1705345209.516;1705345210.327"",""RespTime_14"":""1705345210.328;1705345214.631"",""RespTime_15"":""1705345214.632;1705345216.136"",""RespTime_16"":""1705345216.136;1705345217.361"",""RespTime_10"":""1705345206.835;1705345207.658"",""RespTime_11"":""1705345207.659;1705345208.669"",""RespTime_12"":""1705345208.669;1705345209.516"",""RespTime_17"":""1705345217.361;1705345219.170"",""RespTime_18"":""1705345219.170;1705345221.425"",""RespTime_19"":""1705345221.425;1705345223.656"",""__name__"":""weekly_ema"",""PHQ4-1"":""Not at all"",""SRIS-1"":""6.0"",""SRIS-2"":""5.0"",""SRIS-3"":""5.0"",""RespTime_2"":""1705345189.502;1705345192.771"",""RespTime_3"":""1705345192.771;1705345196.890"",""RespTime_4"":""1705345196.890;1705345202.183"",""RespTime_5"":""1705345202.183;1705345203.198"",""RespTime_6"":""1705345203.198;1705345204.114"",""RespTime_7"":""1705345204.115;1705345205.026"",""RespTime_8"":""1705345205.027;1705345205.916"",""RespTime_9"":""1705345205.916;1705345206.835"",""RespTime_0"":""1705345179.488;1705345184.678"",""RespTime_1"":""1705345184.679;1705345189.501"",""SRIS-4"":""5.0"",""SRIS-5"":""5.0"",""SRIS-6"":""5.0"",""SRIS-7"":""5.0"",""SRIS-8"":""6.0"",""__user_triggered__"":""true"",""PHQ4-4"":""Not at all"",""SRIS-9"":""5.0"",""PHQ4-3"":""Several days"",""PHQ4-2"":""Not at all""}",2024-01-15 09:00:45.680,t0001@sreflect
54,"{""RespTime_24"":""1705345824.085;1705345825.100"",""RespTime_25"":""1705345825.100;1705345827.268"",""RespTime_20"":""1705345819.861;1705345820.739"",""RespTime_21"":""1705345820.740;1705345821.781"",""RespTime_22"":""1705345821.781;1705345823.059"",""RespTime_23"":""1705345823.059;1705345824.084"",""PANAS-5"":""6.0"",""PANAS-4"":""6.0"",""PANAS-3"":""6.0"",""PANAS-2"":""6.0"",""PANAS-1"":""6.0"",""SRIS-12"":""Strongly disagree"",""SRIS-11"":""5.0"",""PANAS-10"":""6.0"",""PANAS-9"":""6.0"",""PANAS-8"":""6.0"",""PANAS-7"":""6.0"",""SRIS-10"":""5.0"",""PANAS-6"":""6.0"",""RespTime_13"":""1705345813.058;1705345813.817"",""RespTime_14"":""1705345813.817;1705345815.099"",""RespTime_15"":""1705345815.099;1705345816.260"",""RespTime_16"":""1705345816.261;1705345817.179"",""RespTime_10"":""1705345810.646;1705345811.419"",""RespTime_11"":""1705345811.419;1705345812.297"",""RespTime_12"":""1705345812.297;1705345813.057"",""RespTime_17"":""1705345817.179;1705345818.058"",""RespTime_18"":""1705345818.058;1705345818.953"",""RespTime_19"":""1705345818.954;1705345819.860"",""__name__"":""weekly_ema"",""PHQ4-1"":""Not at all"",""SRIS-1"":""5.0"",""SRIS-2"":""5.0"",""SRIS-3"":""5.0"",""RespTime_2"":""1705345799.633;1705345801.020"",""RespTime_3"":""1705345801.020;1705345803.840"",""RespTime_4"":""1705345803.840;1705345806.394"",""RespTime_5"":""1705345806.394;1705345807.303"",""RespTime_6"":""1705345807.304;1705345808.098"",""RespTime_7"":""1705345808.098;1705345808.980"",""RespTime_8"":""1705345808.981;1705345809.859"",""RespTime_9"":""1705345809.859;1705345810.646"",""RespTime_0"":""1705345791.069;1705345797.060"",""RespTime_1"":""1705345797.060;1705345799.633"",""SRIS-4"":""6.0"",""SRIS-5"":""5.0"",""SRIS-6"":""5.0"",""SRIS-7"":""5.0"",""SRIS-8"":""5.0"",""__user_triggered__"":""true"",""PHQ4-4"":""Not at all"",""SRIS-9"":""5.0"",""PHQ4-3"":""Not at all"",""PHQ4-2"":""Not at all""}",2024-01-15 09:10:27.267,t0001@sreflect
55,"{""RespTime_24"":""1705253448.975;1705253450.182"",""RespTime_25"":""1705253450.182;1705253452.299"",""RespTime_26"":""1705253452.300;1705253453.883"",""RespTime_27"":""1705253453.884;1705253456.507"",""RespTime_20"":""1705253443.939;1705253445.227"",""RespTime_21"":""1705253445.227;1705253446.451"",""RespTime_22"":""1705253446.451;1705253447.715"",""RespTime_23"":""1705253447.715;1705253448.975"",""RespTime_28"":""1705253456.507;1705253457.255"",""RespTime_29"":""1705253457.256;1705253458.006"",""PANAS-5"":""6.0"",""PANAS-4"":""6.0"",""PANAS-3"":""7.0"",""PANAS-2"":""6.0"",""PANAS-1"":""3.0"",""SRIS-12"":""6.0"",""SRIS-11"":""6.0"",""PANAS-10"":""6.0"",""RespTime_30"":""1705253458.007;1705253458.594"",""PANAS-9"":""6.0"",""PANAS-8"":""6.0"",""PANAS-7"":""6.0"",""SRIS-10"":""6.0"",""PANAS-6"":""6.0"",""RespTime_13"":""1705253434.178;1705253435.497"",""RespTime_14"":""1705253435.497;1705253436.705"",""RespTime_15"":""1705253436.705;1705253437.835"",""RespTime_16"":""1705253437.835;1705253438.853"",""RespTime_10"":""1705253427.911;1705253430.597"",""RespTime_11"":""1705253430.597;1705253431.777"",""RespTime_12"":""1705253431.777;1705253434.177"",""RespTime_17"":""1705253438.853;1705253439.931"",""RespTime_18"":""1705253439.931;1705253441.574"",""RespTime_19"":""1705253441.575;1705253443.939"",""__name__"":""weekly_ema"",""PHQ4-1"":""Not at all"",""LS-1"":""6.0"",""LS-5"":""6.0"",""LS-4"":""6.0"",""LS-3"":""6.0"",""LS-2"":""6.0"",""SRIS-1"":""6.0"",""SRIS-2"":""6.0"",""SRIS-3"":""6.0"",""RespTime_2"":""1705253416.227;1705253417.979"",""RespTime_3"":""1705253417.979;1705253419.526"",""RespTime_4"":""1705253419.526;1705253421.212"",""RespTime_5"":""1705253421.212;1705253422.659"",""RespTime_6"":""1705253422.659;1705253423.858"",""RespTime_7"":""1705253423.858;1705253425.259"",""RespTime_8"":""1705253425.260;1705253426.446"",""RespTime_9"":""1705253426.446;1705253427.910"",""RespTime_0"":""1705253408.219;1705253412.123"",""RespTime_1"":""1705253412.123;1705253416.226"",""SRIS-4"":""6.0"",""SRIS-5"":""6.0"",""SRIS-6"":""6.0"",""SRIS-7"":""6.0"",""SRIS-8"":""6.0"",""__user_triggered__"":""false"",""SRIS-9"":""6.0"",""PHQ4-4"":""Several days"",""PHQ4-3"":""Not at all"",""PHQ4-2"":""Not at all""}",2024-01-14 07:30:58.594,t0001@sreflect
56,"{""RespTime_24"":""1705253982.010;1705253982.911"",""RespTime_25"":""1705253982.911;1705253983.959"",""RespTime_26"":""1705253983.959;1705253985.079"",""RespTime_27"":""1705253985.080;1705253986.830"",""RespTime_20"":""1705253978.476;1705253979.378"",""RespTime_21"":""1705253979.379;1705253980.226"",""RespTime_22"":""1705253980.226;1705253981.112"",""RespTime_23"":""1705253981.112;1705253982.010"",""RespTime_28"":""1705253986.831;1705253987.459"",""RespTime_29"":""1705253987.460;1705253987.997"",""PANAS-5"":""4.0"",""PANAS-4"":""4.0"",""PANAS-3"":""5.0"",""PANAS-2"":""5.0"",""PANAS-1"":""3.0"",""SRIS-12"":""6.0"",""SRIS-11"":""6.0"",""PANAS-10"":""2.0"",""RespTime_30"":""1705253987.998;1705253988.479"",""PANAS-9"":""2.0"",""PANAS-8"":""2.0"",""PANAS-7"":""5.0"",""SRIS-10"":""5.0"",""PANAS-6"":""4.0"",""RespTime_13"":""1705253970.941;1705253971.916"",""RespTime_14"":""1705253971.917;1705253972.834"",""RespTime_15"":""1705253972.835;1705253973.787"",""RespTime_16"":""1705253973.787;1705253974.752"",""RespTime_10"":""1705253966.832;1705253968.624"",""RespTime_11"":""1705253968.624;1705253969.908"",""RespTime_12"":""1705253969.908;1705253970.941"",""RespTime_17"":""1705253974.753;1705253975.729"",""RespTime_18"":""1705253975.730;1705253977.609"",""RespTime_19"":""1705253977.609;1705253978.475"",""__name__"":""weekly_ema"",""PHQ4-1"":""Not at all"",""LS-1"":""6.0"",""LS-5"":""6.0"",""LS-4"":""5.0"",""LS-3"":""6.0"",""LS-2"":""6.0"",""SRIS-1"":""5.0"",""SRIS-2"":""6.0"",""SRIS-3"":""5.0"",""RespTime_2"":""1705253949.392;1705253950.898"",""RespTime_3"":""1705253950.898;1705253953.002"",""RespTime_4"":""1705253953.003;1705253960.290"",""RespTime_5"":""1705253960.290;1705253961.425"",""RespTime_6"":""1705253961.425;1705253962.950"",""RespTime_7"":""1705253962.950;1705253964.009"",""RespTime_8"":""1705253964.010;1705253965.285"",""RespTime_9"":""1705253965.285;1705253966.832"",""RespTime_0"":""1705253942.156;1705253948.339"",""RespTime_1"":""1705253948.339;1705253949.392"",""SRIS-4"":""6.0"",""SRIS-5"":""5.0"",""SRIS-6"":""6.0"",""SRIS-7"":""6.0"",""SRIS-8"":""5.0"",""__user_triggered__"":""true"",""SRIS-9"":""6.0"",""PHQ4-4"":""More than half the days"",""PHQ4-3"":""Not at all"",""PHQ4-2"":""Not at all""}",2024-01-14 07:39:48.480,t0001@sreflect
57,"{""RespTime_24"":""1705254110.288;1705254111.507"",""RespTime_25"":""1705254111.507;1705254115.095"",""RespTime_26"":""1705254115.096;1705254116.199"",""RespTime_27"":""1705254116.199;1705254119.697"",""RespTime_20"":""1705254102.264;1705254105.136"",""RespTime_21"":""1705254105.136;1705254106.871"",""RespTime_22"":""1705254106.872;1705254108.745"",""RespTime_23"":""1705254108.745;1705254110.287"",""RespTime_28"":""1705254119.698;1705254120.669"",""RespTime_29"":""1705254120.670;1705254121.541"",""PANAS-5"":""4.0"",""PANAS-4"":""2.0"",""PANAS-3"":""4.0"",""PANAS-2"":""4.0"",""PANAS-1"":""4.0"",""SRIS-12"":""6.0"",""SRIS-11"":""5.0"",""PANAS-10"":""4.0"",""RespTime_30"":""1705254121.541;1705254122.078"",""PANAS-9"":""2.0"",""PANAS-8"":""4.0"",""PANAS-7"":""4.0"",""SRIS-10"":""5.0"",""PANAS-6"":""2.0"",""RespTime_13"":""1705254089.069;1705254090.342"",""RespTime_14"":""1705254090.343;1705254091.901"",""RespTime_15"":""1705254091.902;1705254093.341"",""RespTime_16"":""1705254093.342;1705254096.518"",""RespTime_10"":""1705254081.661;1705254086.019"",""RespTime_11"":""1705254086.019;1705254087.663"",""RespTime_12"":""1705254087.664;1705254089.068"",""RespTime_17"":""1705254096.518;1705254098.198"",""RespTime_18"":""1705254098.199;1705254099.842"",""RespTime_19"":""1705254099.843;1705254102.263"",""__name__"":""weekly_ema"",""PHQ4-1"":""Several days"",""LS-1"":""5.0"",""LS-5"":""6.0"",""LS-4"":""5.0"",""LS-3"":""6.0"",""LS-2"":""6.0"",""SRIS-1"":""6.0"",""SRIS-2"":""3.0"",""SRIS-3"":""5.0"",""RespTime_2"":""1705254072.183;1705254073.361"",""RespTime_3"":""1705254073.361;1705254074.742"",""RespTime_4"":""1705254074.743;1705254075.900"",""RespTime_5"":""1705254075.901;1705254077.183"",""RespTime_6"":""1705254077.183;1705254078.344"",""RespTime_7"":""1705254078.344;1705254079.469"",""RespTime_8"":""1705254079.469;1705254080.503"",""RespTime_9"":""1705254080.504;1705254081.660"",""RespTime_0"":""1705254065.678;1705254070.781"",""RespTime_1"":""1705254070.782;1705254072.182"",""SRIS-4"":""6.0"",""SRIS-5"":""6.0"",""SRIS-6"":""5.0"",""SRIS-7"":""6.0"",""SRIS-8"":""5.0"",""__user_triggered__"":""true"",""SRIS-9"":""6.0"",""PHQ4-4"":""More than half the days"",""PHQ4-3"":""Several days"",""PHQ4-2"":""Several days""}",2024-01-14 07:42:02.078,t0001@sreflect
58,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1705254894.756;1705254896.887"",""__user_triggered__"":""true""}",2024-01-14 07:54:56.887,t0001@sreflect
