,data,day,uid,date
538,I am driving home tomorrow and a little nervous about it but I know that if I sleep and drink coffee. I can do be alert and avoid any accidents.,2024-03-16 21:30:35.650,t0009@sreflect,2024-03-16
539,"not a ton, just did some chores and work today. hoping to get some skiing in tomorrow but we'll see when I get up.",2024-03-16 21:01:11.237,t0019@sreflect,2024-03-16
540,"Today was a relatively relaxed day, which I enjoy. I was also relatively productive in learning some coding.",2024-03-16 21:21:22.660,t0004@sreflect,2024-03-16
541,I went to the ER this week which was a moment of resilience for me. Going to the ER was scary but dealing with my injury was helpful and I was able to figure out the logistics afterwards.,2024-03-16 21:30:09.273,t0018@sreflect,2024-03-16
542,"my mind is good, happy to be having a birthday, loving some quality time with elliott.",2024-03-16 22:09:53.469,t0010@sreflect,2024-03-16
543,"Today I'm actually wondering about how much power I have to avoid feeling depressed on any particular night. Right now is the perfect circumstance for that to happen. And I'm theorizing: are there things I can do to prevent myself from heading down that path? If I talk more than I think, if I get myself out of my head, will that make a difference? Or is it out of my control? I'll be able to get another data point tonight",2024-03-16 20:09:37.730,t0022@sreflect,2024-03-16
544,Today was a cool day; I milked my first cow and had a maple creamee for the first time as well. I rounded out the night watching a movie.,2024-03-16 22:30:12.203,t0020@sreflect,2024-03-16
545,I was feeling really angry at the world in the afternoon. but I'm feeling better now,2024-03-16 22:52:59.259,t0007@sreflect,2024-03-16
546,I'm quite happy right now - with nice people and a nice work environment. The upcoming spring possibly has a role in this.,2024-03-16 23:07:20.316,t0008@sreflect,2024-03-16
547,"I went skiing today which was a good time. skiied a lot harder than usual. introducing the kitten and the dog today which is a little scary, but I think it will be ok in a few days.",2024-03-17 21:00:22.769,t0019@sreflect,2024-03-17
548,weekend is the time I relax and clean my house. I recharge for the week ahead,2024-03-17 21:23:40.230,t0006@sreflect,2024-03-17
549,"I went to a new city today; it was cool to look inside the different shops, and at one point, there was a live band playing.",2024-03-17 21:24:37.471,t0020@sreflect,2024-03-17
551,"I'm stressed about the amber alert that I got in the middle of the night, made me unwell. But also feeling like I made some good progress on my qual today, but also still so much to do.",2024-03-17 21:30:34.424,t0010@sreflect,2024-03-17
552,Today I got my first certificate in Java programming. Score!,2024-03-17 22:07:15.799,t0004@sreflect,2024-03-17
553,"I'm at the end of my ski trip, and as with the end of all things, there's a creeping sense of sadness. I'm not sure if I've just built that habit over time, or if there's something in my body making me feel this way, but it has me more introspective than usual.",2024-03-17 20:30:10.512,t0022@sreflect,2024-03-17
554,I drove to Boston today but am also still working. I want to have a break because I'm burning out but I will soon and I'm happy about it,2024-03-17 22:56:45.509,t0009@sreflect,2024-03-17
555,"This past days I've been thinking about how many people are not kind in many situations, and how should I react to that in a way that I keep myself in a peaceful state. It's really something hard, and I've been trying to understand how I feel about situations that make me uncomfortable, and when it is a good moment to take an action or not.",2024-03-17 23:32:22.641,t0008@sreflect,2024-03-17
556,"I have been feeling a little overwhelmed the last couple of days withe move to San Diego for a couple of months. But yesterday, I figured out a lot of things on my own so I felt pretty good. I'll be going to a symposium today so hugely looking forward to that.",2024-03-17 21:42:33.651,t0017@sreflect,2024-03-17
557,"I have traveled to death valley and I am very tired, but it has been very cool to see",2024-03-18 00:37:41.882,t0007@sreflect,2024-03-18
558,good day with friends is always better than a normal day alone,2024-03-18 11:34:01.292,t0006@sreflect,2024-03-18
559,"I got to expend a lot of creative energy today, which I think was a good thing. I have my final therapy appointment tomorrow, so I hope it's productive.",2024-03-18 21:00:12.846,t0004@sreflect,2024-03-18
560,"today was a long day. a few experiments didn't go well and that took away from my paper reading time, which does stress me out a little bit. but I still did get some good reading in, things are moving, progressing, yay",2024-03-18 21:00:54.388,t0010@sreflect,2024-03-18
561,"introducing the kitten and dog isn't going as bad as I thought it would. it helps that the dog is extremely food motivated, so cheese always gets her attention. at work things are kinda boring, and with the boyfriend out for a few days at home, I'll have to go bug my friends in other labs so I won't go crazy.",2024-03-18 21:00:17.875,t0019@sreflect,2024-03-18
562,"I realized how different it feels to be alone with yourself after I've spent every day of the last week hanging out with people. Even though I get tired or annoyed, it's better than just being with myself; using a whole day to take a break is too much, but then again, I didn't go out and do something fun.",2024-03-18 21:25:33.608,t0020@sreflect,2024-03-18
563,"Today was a very lazy day, not much to report. Trying to recover before the next term starts!",2024-03-18 21:05:43.841,t0022@sreflect,2024-03-18
564,"I'm happy that I can spend most of my time with some of my favorite groups of people, and it's been very rewarding and fulfilling. I'm thankful that I could settle into this new community well",2024-03-18 21:35:03.690,t0012@sreflect,2024-03-18
565,Nothing much. I have been stressed about work for the past 2 weeks. This is my first day off and it feels great. I just feel exhausted and sleepy at the moment.,2024-03-18 22:30:40.592,t0003@sreflect,2024-03-18
566,"today I'm thinking mostly about research, I am at a little conference meeting with some project collaborators for the grant that I am funded by. I've been thinking about what it was like last year, and I was a bit stressed today because I had a poster presentation. but it went super well, and I even got a best poster award. so overall it was a great day and I had a good time.",2024-03-18 23:27:16.855,t0014@sreflect,2024-03-18
567,it was very cool to go stargazing tonight at death valley because the moonlight was bright,2024-03-19 00:21:26.559,t0007@sreflect,2024-03-19
568,"Today, I attended the first day of the Human Milk Institute symposium. The symposium inspired me to learn more about lactational biology and it's impact on infant health. I feel more confident in my research and believe in its translational applications. I will be staying at UCSD for the next couple of months. At first, I felt really apprehensive and tensed. However, after meeting some people I'll be working with, I'm looking forward for the opportunity.",2024-03-18 22:27:45.036,t0017@sreflect,2024-03-18
569,"Another low key day, nothing major to report. Feeling a major lack of motivation though, even to complete a short journal entry",2024-03-19 20:00:33.176,t0022@sreflect,2024-03-19
570,"Today I got my certificate in Java Programming II, so I felt like today was a productive day.",2024-03-19 21:00:13.619,t0004@sreflect,2024-03-19
571,I am just super tired. I don't want to do anything but I keep getting tasks from people. it's exhausting.,2024-03-19 21:06:15.150,t0009@sreflect,2024-03-19
572,"I got an outline of a fellowship application done in less than an hour today, which I'm really proud of. hopeful",2024-03-19 21:02:32.234,t0019@sreflect,2024-03-19
573,Nothing much. Just had a long tough talk that has got me immensely exhausted. But I'm feeling so relieved now.,2024-03-19 22:19:15.463,t0003@sreflect,2024-03-19
574,today was my birthday. took it pretty easy work-wise today which was nice. also good opportunity to catch up with some family.,2024-03-19 21:45:57.134,t0010@sreflect,2024-03-19
575,It was fun to go stargazing again tonight in death valley,2024-03-20 02:32:18.694,t0007@sreflect,2024-03-20
576,A hectic day! finally got some peace and quiet in the evening after getting home!,2024-03-20 21:11:38.877,t0006@sreflect,2024-03-20
577,"Today, I learned that I might be able to get an internship! But it might be hard to get transportation, so I will have to figure things out.",2024-03-20 21:31:50.325,t0004@sreflect,2024-03-20
578,"I feel like I've been moving, getting to where I need to be with reading. but still so much to go. unsure how much I should shift gears and focus on writing, imaging analysis, or more methodology focused reading. but I'll get there eventually. probably ready Saab and meyer papers and then get as far as I can writing before Monday.",2024-03-20 21:19:55.812,t0010@sreflect,2024-03-20
579,"it was another quiet day, but I did get a chance for a few conversations and meetings with my boss. my writing is going decently too which is exciting",2024-03-20 21:01:21.785,t0019@sreflect,2024-03-20
580,"I had a good day today: I got a new hat, had a good dinner, hung out with people... I'm not really looking forward to class starting up again in a few days",2024-03-20 21:06:19.510,t0020@sreflect,2024-03-20
581,"Its hard to find a balance between being too excited about a project and not to get exhausted for working on this project. I've been working a lot, and just recently I noticed that this might be too much. in some days I have been waking up with no wish to get up, and I guess this is because I need to get some rest.",2024-03-20 22:07:22.084,t0008@sreflect,2024-03-20
582,"Today was technically a good day on paper. I'm in a beautiful house, I slept in late, I'm eating great food and surrounded by Telugu people, even had good weather and a pedicure. Yet, I feel very out of place, drained and zoned out. I'm unable to feel attached or gain joy from anything. Part of it is being surrounded by strangers, part of it is working a bit (physically) and not doing things I'm supposed to (but I have time for that ig or I hope) or want to (laze out and watch TV)",2024-03-20 22:36:32.976,t0013@sreflect,2024-03-20
583,"I'm feeling a bit stagnant at home. I'm nervous for the next term, a bit burnt out from the last one, and caught in the middle. Hoping tomorrow to get some exercise in to feel better",2024-03-20 23:07:26.983,t0022@sreflect,2024-03-20
584,"Today I got to explore Las Vegas strip, and it was exciting but definitely overstimulating",2024-03-21 03:21:16.515,t0007@sreflect,2024-03-21
585,today was a good day even though it was pretty cold. had a good walk with friends and grabbed coffee,2024-03-21 21:11:44.737,t0006@sreflect,2024-03-21
586,"I had a very quiet day again today. tomorrow I think there should be more people in, but I'm already planning to do a half day to ski. hopefully next week will be a bit more exciting",2024-03-21 21:06:52.756,t0019@sreflect,2024-03-21
587,"Today, I got to video call my significant other. I was really glad to connect with him, and I am proud of myself for asking what I needed.",2024-03-21 21:01:02.766,t0004@sreflect,2024-03-21
588,"I finally got back home to Florida today, and it is really refreshing to be home.",2024-03-21 21:00:26.400,t0007@sreflect,2024-03-21
589,"I think it's so upsetting when someone can't see past their hypocrisy because the propoganda has been so ingrained in their minds. like they understand one thing, but when you try to make the comparison to something else that is also as clear they don't see it.",2024-03-21 21:27:45.128,t0009@sreflect,2024-03-21
590,"I still feel like I'm catching up on qual prep, but I also still feel behind. working on it, so much to do, but doing my best.",2024-03-21 21:08:47.200,t0010@sreflect,2024-03-21
591,"I've been pretty worried about finances recently. And since I was recently on an airplane it has been strange to see people sitting in those first class chairs.. The cost of those single seats during a flight would be transformational in this point of my life. The unfair distribution of resources is nothing new, we all know about it intimately through our daily lives, but I guess it is just something that has been in the foreground of my thoughts recently",2024-03-21 21:30:26.375,t0011@sreflect,2024-03-21
592,"I find it interesting how much I feel attracted to specific features of things - the light, the smell etc. I created good memories in a lab, and I think this is associated to it. It's funny, but I also worry that sometimes I make decisions based on that. I guess I definitely need to improve my way to make decisions sometimes. but also, there is a benefit in doing things with emotion and passion.",2024-03-21 21:43:46.315,t0008@sreflect,2024-03-21
593,"Went for a mountain bike ride, and it was really nice to get a chance to clear my head. That being said, I'm gearing up for a tough term. Waiting to see how well I can manage all of the responsibilities I've set up for myself.",2024-03-21 22:57:54.526,t0022@sreflect,2024-03-21
594,"Today was the first day at Lars's lab. It was nice, I met a lot of new folks. Got oriented to the new lab space and explored some surrounding areas. I'm looking forward to start working soon.",2024-03-21 21:06:36.545,t0017@sreflect,2024-03-21
595,"its been pretty busy, traveling around different places. I'll try to catch up some work after it's over",2024-03-21 22:14:50.782,t0012@sreflect,2024-03-21
596,I enjoyed picking up a card and chocolate for a friend today. I also started learning how to use spaCy and it's very cool.,2024-03-22 21:03:20.211,t0004@sreflect,2024-03-22
597,"Today was a good day, we bottled some maple syrup and had dinner as one big group.",2024-03-22 21:00:21.897,t0020@sreflect,2024-03-22
598,Today has been OK. i did end up making up with the person I argued with yesterday. I also hung with a friend so feeling better.,2024-03-22 21:30:16.769,t0009@sreflect,2024-03-22
599,"Feeling like things are coming together for my F31, like I know what I have left to do, just worried I'm underestimating the time needed to do it. But I think it'll be okay, will get it done",2024-03-22 21:27:27.005,t0010@sreflect,2024-03-22
600,"I got to ski today, which was nice. work was very quiet again, starting to go a little crazy.",2024-03-22 21:09:40.174,t0019@sreflect,2024-03-22
601,"Coming towards the end of break now, and I really do hope I'm ready for what's to come. I think I'm ready to take on the challenges ahead, but it's hard to really know for sure until you're in it. just trying to enjoy the time I have left",2024-03-22 21:30:09.230,t0022@sreflect,2024-03-22
602,"I went to my old high school today to visit teachers, and it was fun to reminisce about the past",2024-03-22 22:03:34.766,t0007@sreflect,2024-03-22
603,Today was an exciting day for my family as my dog gave birth to 8 puppies today! time to welcome new members to the family !!!,2024-03-22 23:30:27.602,t0006@sreflect,2024-03-22
604,My bus back to Hanover was canceled which is unfortunate and means I have greater difficulty getting back to classes on time when classes start. I am slightly worried as such about my upcoming Monday. However I am trying to stay optimistic.,2024-03-22 21:11:42.961,t0018@sreflect,2024-03-22
605,Today was a very relaxing day indoors. I am glad it is finally snowing.,2024-03-23 21:00:07.367,t0004@sreflect,2024-03-23
606,"I am tired today. I just want to sleep. I think I have done too much touristic things in Montreal and my social battery is dead. Additionally, I am worried about the financial toll this trip took on me and how many shifts I will have to pick up once on campus to compensate. Finally, I am marginally worried I didn't get everything I wanted to get done over the break and the impact of this on the upcoming semester.",2024-03-23 21:00:06.709,t0018@sreflect,2024-03-23
607,A very snowy day. went out and played in the snow for a while!,2024-03-23 21:06:56.061,t0006@sreflect,2024-03-23
608,"got stuck at home with the snow today, hoping tommorrow goes better! might need to think about a different car",2024-03-23 21:10:19.352,t0019@sreflect,2024-03-23
609,"today was a good day. while I'm very tired because my mom and I painted the walls of her bedroom and the kitchen, I liked being away from my phone for a while. what's going around in the world is very depressing.",2024-03-23 21:16:35.960,t0009@sreflect,2024-03-23
610,"I've been thinking about this upcoming term and what I would like to do post-grad, and I'm cautiously optimistic about my choices and what I can get done before then.",2024-03-23 21:18:44.397,t0020@sreflect,2024-03-23
611,Nothing much. Just mesmerized by nature in Atlanta. It's such a beautiful and breathtaking place.,2024-03-23 21:34:19.937,t0003@sreflect,2024-03-23
612,Last day before the term starts. I just found out that a few people I have a bit of a complicated relationship with are in one my classes this term. It's going to be an interesting challenge trying to navigate that.,2024-03-23 21:56:57.141,t0022@sreflect,2024-03-23
613,"understanding my relationship with my body and my health is something I'm trying to do. I think I have difficulties in practicing exercises and working out, but I'm looking for solutions for that. I guess having a more active life will help me in all the areas of my life.",2024-03-23 22:37:57.512,t0008@sreflect,2024-03-23
614,I am feeling relaxed reading to start spring term with more energy.,2024-03-23 22:52:19.914,t0015@sreflect,2024-03-23
615,I'm feeling good today. Decided to take a little time off from work and relax. I've catching up on movies that I missed and TV shows.,2024-03-23 21:00:56.678,t0017@sreflect,2024-03-23
616,"got back on campus today, it was a fun bus ride and cool to see all the snow",2024-03-24 01:56:38.006,t0007@sreflect,2024-03-24
617,"today I've been thinking about the person I'm seeing. I'm crazy about them, and I hope things work out. I think we have some amazing communication and I'm excited to learn thing about them and myself through deep conversations about life and gender and sexuality.",2024-03-24 19:00:32.500,t0014@sreflect,2024-03-24
618,"Today was a pretty solid day, but I am ready to start classes tomorrow.",2024-03-24 21:02:30.407,t0004@sreflect,2024-03-24
619,"First day of the term done, and everything went well! I was helping run community dinner for the SLC, and everyone seemed to enjoy it. Got my room unpacked, and now most of my SLC chores are out of the way, so we're off to a good start!",2024-03-24 21:01:41.203,t0022@sreflect,2024-03-24
620,"skiing today was fun, but difficult. I think I'm getting better at moguls, which is a bonus. called my parents but only for a little bit cause the WiFi went out. they want me to go on a trip with them and are using my grandpa wanting to go to guilt me. ugh.",2024-03-24 21:00:10.520,t0019@sreflect,2024-03-24
621,I have gotten into reading again and it's actually nice getting lost in it. I'm also still very exhausted and wish to take a real breather but will be busy in the next 3 days...,2024-03-24 21:37:37.483,t0009@sreflect,2024-03-24
622,"I've gotta be prepared to solo mother my dog this week. Elliott really has been cooking the most lately, I struggled to even think of what I wanted to cook now that I have to. But I'm prepared to mostly spend this week reading and hopefully will be a lot of time at home with Patch.",2024-03-24 21:49:16.490,t0010@sreflect,2024-03-24
623,I feel relaxed and grateful. My vision to Atlanta has been so fulfilling and reenergizing. I now feel ready to get back to school.,2024-03-24 21:49:59.555,t0003@sreflect,2024-03-24
624,"I'm trying to reconnect with myself and find the best me. I started doing this physically - self care, clothes, hair, and I guess this is a start. mentally I've also been working, but I think I did not care too much about the details of the exterior. at this point, I'm feeling good enough on the inside to let it breath to the outside.",2024-03-24 22:01:10.862,t0008@sreflect,2024-03-24
625,didn't get a talk that I wanted but it's ok. I will still be going to a conference and hopefully I can get a lot of great science done this summer.,2024-03-25 21:48:26.457,t0009@sreflect,2024-03-25
626,"In face of all the challenges, it is hard to keep up and passing through the day. So many things, so many thoughts, and I still have to work and live normally. this is hard. one important thing is to acknowledge what I'm feeling right now and allow myself to feel sad about it. but also, there are so many things I can be happy about.",2024-03-25 22:33:50.907,t0008@sreflect,2024-03-25
627,today I had a good time with my friend we ate good food but also painted in a shop,2024-03-27 21:00:13.796,t0009@sreflect,2024-03-27
628,Things are looking positive after my advisor approved my thesis plans. I'm now hoping to work hard towards the defense deadline.,2024-03-28 21:02:19.996,t0003@sreflect,2024-03-28
629,"today was a nice day, i felt like i was able to be an adult. but I also dealt with a conflict calmly and I'm proud of myself",2024-03-28 21:00:15.217,t0009@sreflect,2024-03-28
630,It's been a long day. I'm super tired and all I want to do is sleep. But I'm omw to a 3 hour movie and my social battery has run out.,2024-03-29 21:01:59.346,t0017@sreflect,2024-03-29
631,"It was great day. I tried a VR game tonight, it was amazing. Had a great time with my friends. Tomorrow morning ill be heading back to San Diego.",2024-03-30 21:47:33.631,t0017@sreflect,2024-03-30
632,I am coming back from break but am not prepared. i sort feel that i need more days off.,2024-03-31 21:36:30.436,t0009@sreflect,2024-03-31
154,"So today I was pretty annoyed by having a meeting in the middle of my workout and I was reminded that my workouts really need to be more of a priority. I really need to focus on prioritizing my workouts and my dissertation and making work get further down the list and that is very hard for me to do but it is important. One of the things that I want to remember to do the next time I'm asked about evaluation of this app is like the check-ins do not need to be about my movement like it's just most of them aren't even accurate and like why would they like why are you trying to guess where I am or what I'm doing like there's so many more productive check-ins like you know are you focusing on being nice are you um have you have you moved much today why don't you think about moving every hour how about doing 50 crunches this afternoon try to get a good night's sleep tonight I don't know just anything but like positive and wellness rather than just focused on random like I just I don't know random check-ins that don't make much sense that are very useful so I guess you know that I'm alive but that's about the only benefit from them I'm gonna try really hard to prioritize dissertation and exercise over the next actually week so there we go there's a goal today is Thursday night prioritizing exercise dissertation for a week test me on it thank you
",2024-03-14 21:35:49.029,t0016@sreflect,2024-03-14
155,"Well, I am definitely back on a good track with my dissertation, so that is making me pretty happy. Going to bed early, getting up early, and even fitting it in during the day. So I am going to stay on that track and even improve it, keep writing lists of goals and meeting them, setting goals, and I am working toward them. Because if I can keep up this pace, it feels like anything is possible. Otherwise, I don't know, my stomach hurts tonight, so we'll see what's going on there. But I did pass up an opportunity to go to lunch today and I kind of regret it. So there's that. I thought, well, it's going to be a busy day. I want to get a lot of work done and if I'm going to take a break, I want it to be a run. But of course, I didn't really run until the end of the day and even then, it was kind of a short run and I could have done that even if I had gone out to lunch. So it's kind of frustrating that I did that, but oh well, maybe I'll just make sure that I don't give up the chance to do it another time. So next time, I'll make sure I accept the invitation because I know that missing out on work is not that big of a deal. It doesn't make that much of a difference.
",2024-03-15 21:14:56.153,t0016@sreflect,2024-03-15
156,"Oh geez, three in a row now, huh? Today was super productive. I was busy from the time I woke up pretty much until like 5 p.m. and then I sort of melted into needing to rest a little bit and I haven't gotten as much done since 5 p.m. The last three hours have been hanging with my kids, playing a game, making them dinner, texting friends, hanging out in the hot tub for the second time today, just really taking it slow since 5 p.m. But from the first 12 hours of the day we're incredibly busy, like boom-da-boom-da-boom-da-boom thing, one thing to the next to the next to the next and super super productive. I'm just running out of steam, which is kind of common for me on weekdays anyway and seems to be happening today too, so I'm just gonna try to do the best I can to get through the night. I probably won't be very more productive, but I'm hoping that tomorrow I can kind of carry some of that productivity through the day. And good, good feelings. This is always good for me. I like being productive. It makes me very very happy, especially on a Saturday, maybe do a little more relaxing on a Sunday, but not too much. Oh, I want to make English muffins tomorrow. That's my goal. That's my relaxing goal, so see if I do that.
",2024-03-16 20:01:44.279,t0016@sreflect,2024-03-16
157,"I wonder if this is wrapping up now that I have I'm not getting prompts but that's okay so let's see I had a fairly good day I was just as active as I was yesterday somewhat surprisingly went for a walk and a run and capoeira so that's good I got some work done although I didn't have as good of luck today with my dissertation work as I did yesterday but that's okay I also got a lot of cleaning done today which felt good so didn't necessarily do too much that was but had success in getting stuff done that really needed to be done I didn't really finish much but I got I made a lot of progress in several directions so not just millimeters of progress but good good cleaning progress that needed needed it pretty badly but there's of course so much more cleaning that needs to be done too so starting a new week I have been doing great on writing code but I really need to get back to working on my presentations because that's just gonna stress me out if I don't get those done so the next several days are just going to be focused on that and keeping running and working out at the same time
",2024-03-17 20:18:19.375,t0016@sreflect,2024-03-17
158,"Well, I somehow managed to get a lot done today. Even though I took time to go for a run, I took time to take the kids to the gym, and I'm not doing any work in the evening. But I got up at 3.30 this morning. I got a lot of work done then. I also just was pretty focused on trying to get work done the rest of the day. So made some progress, a lot more progress left to go. A lot more to do this week. But I wanna keep focusing on exercise. Next might be food, because the more exercise, the more I eat. So it'd be nice to be a little healthier about those choices, so that my exercise is actually kind of complimented by my food. I'm not there yet. Maybe that's my next journey.
",2024-03-18 20:05:19.430,t0016@sreflect,2024-03-18
160,"I started the day with some solid exercise, a long walk, and a workout and then I was able to really focus on work for a good part of the day only having about two hours of meetings and that seems to be a very good balance for me. Actually it was probably like two and a half hours of meetings but that's a lot less than normal for me on a Tuesday. So I actually took a lunch break and did a few things that really needed to be done around home which felt great because there had been some leftover items from the weekend. That was helpful. I'm anxious to get back to have some solid time to get some projects done but I think I can do it tomorrow with some very serious focus because I actually don't have a lot scheduled tomorrow so I think I'll be able to pull off some coding and work on a presentation that I'm trying to finish. With those two things that'll be a good day. So setting goals for tomorrow early as I go to bed.
",2024-03-19 21:03:49.647,t0016@sreflect,2024-03-19
162,"One thing I think is really funny, and that's something that I can't stop thinking about, is how things end up being the way they should in the end, even though I worry a lot in the process. So, this happened to me many times about getting to grad school and now getting to the rotation lab. And it's so painful and annoying to worry and not know if things are going to work out. But in the end, we just don't know what is better for us. We imagine something should be fine, and then something went wrong. And because this thing went wrong, we end up going in a different path that originally won't go. And with that, we end up being exactly in the right place, in the perfect place, that if things hadn't gone wrong, we possibly wouldn't go. So, it's just so nice to, after having lived many experiences like that, to kind of start to develop some awareness that things will be fine, even if it's not in the way we were expecting it to be. And I hope that with some practice and considering all my experience, I will be able to know that things will be fine and not worry that much and trust in the process.
",2024-03-19 21:59:46.653,t0008@sreflect,2024-03-19
163,"So today was actually not the best day. I think I might go back and I would change that smiley face maybe to a little bit more of a flat face. I just felt like I, or a neutral face, I just felt like I had a lot of time today to work on what I wanted to and it didn't turn out that way at all. It was like, I feel some days like the day is stolen from me and that's what today felt like. I got a few things done, but really not much. And it was just very, very frustrating. So I'm not sure how to fix it. I feel like tomorrow I don't have as much time. So it's gonna be even harder to like actually get the things done that I wanna get done. So I'm just, the week's almost over and I don't have, I don't have my presentations done and I don't have any agreements done and that's what I needed to do. I also feel like that time that is after work and the kids come home from school from three to six is just so impossible. It's just run, run, run, run, run, run, run and nothing gets done and there's way too much to do in too little time. That is my least favorite part of the day. So if I could try to figure out what's going on there and how to make it better, that would be good.
",2024-03-20 20:17:06.391,t0016@sreflect,2024-03-20
164,"Um, I've been pretty burned out since the end of the term and a little bit before. I work non-stop. Um, I really like a break though, um, yeah, because I'm really burned out. But I won't be able to stop working until, like, tomorrow, so hopefully that'll be better. Um, today my mom and I went to Walmart, which was the first time I really drive my car in Boston, and it wasn't bad at all. We did get lost though, and she did get mad, but she calmed down, and apparently she was boasting about me, so that was kind of nice. Um, I also keep getting really bad headaches, um, which I think has to do with the working non-stop situation. So hopefully I can, like, go to sleep, basically.
",2024-03-20 21:00:15.694,t0009@sreflect,2024-03-20
166,"Today was okay. I think I had the feeling of getting some good conversations about my science in. I am slowly, slowly making progress on my dissertation. Forever frustrated that I don't give it more time. But you know, taking a break from it is probably not a bad thing. And I hope to do that. I have a few things I need to get done before Monday. So I'm just going to just try to do those few things before Monday. And then really focus in on it next week. Just keep, I think I need to move to weekly goals. Because I have monthly goals, but it's hard to keep your eye on a monthly goal. Whereas I think weekly goals, I can either meet them or push them to the next week. Every single week. And then eventually I'll even get to daily goals. But right now I think weekly goals are the right way to go about it. I have started my weightlifting routine since I have started journaling. So I am now lifting weights three times a week. And it's maybe not quite as much as I would like to be doing, but it is consistent. And I think I'm on my fourth time. So a week and a half-ish fifth time. So yeah, it's going well. And next week is going to be hard because I'm going to be traveling. But my goal is to keep up my weightlifting routine and to set a weekly goal for dissertation and meet that as well.
",2024-03-21 20:43:50.625,t0016@sreflect,2024-03-21
